done;baseagent_acts;strongagent_acts;blindagent_acts;baseagent_mssg;strongagent_mssg;blindagent_mssg;world_nr;tick_nr
False;;;;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;12
False;MoveSouth;MoveSouth;MoveSouthEast;1;1;1;1;13
False;MoveSouth;MoveSouth;MoveSouthEast;1;1;1;1;14
False;MoveSouth;MoveSouth;MoveEast;1;1;1;1;15
False;MoveSouth;MoveSouth;MoveEast;1;1;1;1;16
False;MoveSouth;MoveSouth;MoveEast;1;1;1;1;17
False;MoveSouth;MoveSouth;MoveEast;1;1;1;1;18
False;MoveSouth;MoveSouth;MoveEast;1;1;1;1;19
False;MoveSouth;MoveSouth;MoveEast;1;1;1;1;20
False;MoveSouth;MoveSouth;MoveEast;1;1;1;1;21
False;MoveSouth;MoveSouth;MoveEast;1;1;1;1;22
False;MoveSouth;MoveSouth;MoveEast;1;1;1;1;23
False;MoveSouth;MoveSouth;MoveEast;1;1;1;1;24
False;MoveSouth;MoveSouthEast;MoveEast;1;1;1;1;25
False;MoveSouth;MoveSouthEast;MoveEast;1;1;1;1;26
False;MoveSouth;MoveEast;MoveEast;1;1;1;1;27
False;MoveSouth;MoveEast;MoveEast;1;1;1;1;28
False;MoveSouth;MoveEast;MoveEast;1;1;1;1;29
False;MoveSouth;MoveEast;MoveEast;1;1;1;1;30
False;MoveSouth;MoveEast;MoveEast;1;1;1;1;31
False;MoveSouth;MoveEast;MoveEast;1;1;1;1;32
False;MoveSouth;MoveEast;OpenDoorAction;1;1;1;1;33
False;MoveSouth;MoveEast;OpenDoorAction;1;1;2;1;34
False;MoveSouth;MoveEast;MoveNorth;1;1;2;1;35
False;MoveSouth;MoveEast;MoveNorth;1;1;3;1;36
False;MoveSouthEast;MoveEast;MoveNorthWest;1;1;3;1;37
False;MoveSouthEast;MoveEast;MoveNorthWest;1;1;3;1;38
False;MoveEast;MoveEast;MoveNorthWest;1;1;3;1;39
False;MoveEast;MoveEast;MoveNorthWest;1;1;3;1;40
False;MoveEast;MoveEast;MoveSouth;1;1;3;1;41
False;MoveEast;MoveEast;MoveSouth;1;1;3;1;42
False;MoveEast;MoveEast;MoveNorthEast;1;1;3;1;43
False;MoveEast;MoveEast;MoveNorthEast;1;1;3;1;44
False;MoveEast;MoveEast;GrabObject;1;1;3;1;45
False;MoveEast;MoveEast;GrabObject;1;1;4;1;46
False;MoveEast;MoveEast;MoveSouth;1;1;4;1;47
False;MoveEast;MoveEast;MoveSouth;1;1;4;1;48
False;MoveEast;MoveEast;MoveSouthEast;1;1;4;1;49
False;MoveEast;MoveEast;MoveSouthEast;1;1;4;1;50
False;MoveEast;MoveEast;MoveSouthEast;1;1;4;1;51
False;MoveEast;MoveEast;MoveSouthEast;1;1;4;1;52
False;MoveEast;MoveEast;MoveSouthEast;1;1;4;1;53
False;MoveEast;MoveEast;MoveSouthEast;1;1;4;1;54
False;MoveEast;MoveEast;MoveEast;1;1;4;1;55
False;MoveEast;MoveEast;MoveEast;1;1;4;1;56
False;OpenDoorAction;OpenDoorAction;MoveEast;1;1;4;1;57
False;OpenDoorAction;OpenDoorAction;MoveEast;2;2;4;1;58
False;MoveNorth;MoveNorth;MoveEast;2;2;4;1;59
False;MoveNorth;MoveNorth;MoveEast;3;3;4;1;60
False;MoveNorthWest;GrabObject;MoveEast;3;3;4;1;61
False;MoveNorthWest;GrabObject;MoveEast;3;3;4;1;62
False;MoveNorthWest;MoveSouthEast;MoveEast;3;3;4;1;63
False;MoveNorthWest;MoveSouthEast;MoveEast;3;3;4;1;64
False;MoveSouth;MoveSouthEast;MoveEast;3;3;4;1;65
False;MoveSouth;MoveSouthEast;MoveEast;3;3;4;1;66
False;MoveNorthEast;MoveSouthEast;MoveSouthEast;3;3;4;1;67
False;MoveNorthEast;MoveSouthEast;MoveSouthEast;3;3;4;1;68
False;MoveSouth;MoveSouth;MoveSouth;3;3;4;1;69
False;MoveSouth;MoveSouth;MoveSouth;3;3;4;1;70
False;MoveNorthEast;MoveSouth;MoveSouth;3;3;4;1;71
False;MoveNorthEast;MoveSouth;MoveSouth;3;3;4;1;72
False;MoveSouth;MoveSouth;MoveSouth;3;3;4;1;73
False;MoveSouth;MoveSouth;MoveSouth;3;3;4;1;74
False;MoveNorthEast;MoveSouthWest;MoveSouth;3;3;4;1;75
False;MoveNorthEast;MoveSouthWest;MoveSouth;3;3;4;1;76
False;MoveSouth;MoveWest;MoveSouth;3;3;4;1;77
False;MoveSouth;MoveWest;MoveSouth;3;3;4;1;78
False;MoveSouthWest;MoveWest;MoveSouth;3;3;4;1;79
False;MoveSouthWest;MoveWest;MoveSouth;4;3;4;1;80
False;MoveSouthWest;MoveWest;MoveSouth;4;3;4;1;81
False;MoveSouthWest;MoveWest;MoveSouth;4;3;4;1;82
False;MoveWest;MoveWest;MoveSouth;4;3;4;1;83
False;MoveWest;MoveWest;MoveSouth;4;3;4;1;84
False;MoveWest;MoveSouthWest;MoveSouth;4;3;4;1;85
False;MoveWest;MoveSouthWest;MoveSouth;4;3;4;1;86
False;MoveWest;MoveWest;MoveSouthWest;4;3;4;1;87
False;MoveWest;MoveWest;MoveSouthWest;4;4;4;1;88
False;MoveWest;MoveWest;MoveSouthWest;4;4;4;1;89
False;MoveWest;MoveWest;MoveSouthWest;4;4;4;1;90
False;MoveWest;MoveWest;MoveSouthWest;4;4;4;1;91
False;MoveWest;MoveWest;MoveSouthWest;4;4;4;1;92
False;MoveWest;MoveWest;MoveWest;4;4;4;1;93
False;MoveWest;MoveWest;MoveWest;4;4;4;1;94
False;MoveWest;MoveWest;MoveWest;4;4;4;1;95
False;MoveWest;MoveWest;MoveWest;4;4;4;1;96
False;MoveWest;MoveWest;MoveSouthWest;4;4;4;1;97
False;MoveWest;MoveWest;MoveSouthWest;4;4;4;1;98
False;MoveNorthWest;MoveWest;DropObject;4;4;4;1;99
False;MoveNorthWest;MoveWest;DropObject;4;4;5;1;100
False;MoveNorth;MoveNorthWest;MoveNorthWest;4;4;5;1;101
False;MoveNorth;MoveNorthWest;MoveNorthWest;4;4;6;1;102
False;MoveNorth;MoveWest;MoveNorthWest;4;4;6;1;103
False;MoveNorth;MoveWest;MoveNorthWest;4;4;6;1;104
False;MoveNorth;OpenDoorAction;MoveNorthWest;4;4;6;1;105
False;MoveNorth;OpenDoorAction;MoveNorthWest;4;5;6;1;106
False;MoveNorth;MoveNorth;MoveWest;4;5;6;1;107
False;MoveNorth;MoveNorth;MoveWest;4;6;6;1;108
