done;baseagent_acts;blindagent_acts;baseagent_mssg;blindagent_mssg;world_nr;tick_nr
False;;;0;0;1;0
False;MoveSouthEast;MoveSouth;0;0;1;1
False;MoveSouthEast;MoveSouth;1;1;1;2
False;MoveSouthEast;MoveSouth;1;1;1;3
False;MoveSouth;MoveSouth;1;1;1;4
False;MoveSouth;MoveSouth;1;1;1;5
False;MoveSouth;MoveSouth;1;1;1;6
False;MoveSouth;MoveSouth;1;1;1;7
False;MoveSouth;MoveSouth;1;1;1;8
False;MoveSouth;MoveSouth;1;1;1;9
False;MoveSouth;MoveSouth;1;1;1;10
False;MoveSouth;MoveSouth;1;1;1;11
False;MoveSouth;MoveSouth;1;1;1;12
False;MoveSouth;MoveSouth;1;1;1;13
False;MoveSouth;MoveSouth;1;1;1;14
False;MoveSouth;MoveSouth;1;1;1;15
False;MoveSouth;MoveSouth;1;1;1;16
False;MoveSouth;MoveSouth;1;1;1;17
False;MoveSouth;MoveSouth;1;1;1;18
False;MoveSouth;MoveSouth;1;1;1;19
False;MoveSouth;MoveSouth;1;1;1;20
False;MoveSouth;MoveSouth;1;1;1;21
False;MoveSouth;MoveSouth;1;1;1;22
False;MoveSouth;MoveSouth;1;1;1;23
False;MoveSouth;MoveSouth;1;1;1;24
False;MoveSouth;MoveSouthEast;1;1;1;25
False;MoveSouth;MoveSouthEast;1;1;1;26
False;MoveSouth;MoveEast;1;1;1;27
False;MoveSouth;MoveEast;1;1;1;28
False;MoveSouth;MoveEast;1;1;1;29
False;MoveSouth;MoveEast;1;1;1;30
False;MoveSouth;MoveEast;1;1;1;31
False;MoveSouth;MoveEast;1;1;1;32
False;MoveSouth;MoveEast;1;1;1;33
False;MoveSouth;MoveEast;1;1;1;34
False;MoveSouth;MoveEast;1;1;1;35
False;MoveSouth;MoveEast;1;1;1;36
False;MoveSouth;MoveEast;1;1;1;37
False;MoveSouth;MoveEast;1;1;1;38
False;MoveSouth;MoveEast;1;1;1;39
False;MoveSouth;MoveEast;1;1;1;40
False;MoveSouth;MoveEast;1;1;1;41
False;MoveSouth;MoveEast;1;1;1;42
False;MoveSouth;MoveEast;1;1;1;43
False;MoveSouth;MoveEast;1;1;1;44
False;MoveSouth;MoveEast;1;1;1;45
False;MoveSouth;MoveEast;1;1;1;46
False;MoveSouth;MoveEast;1;1;1;47
False;MoveSouth;MoveEast;1;1;1;48
False;MoveSouth;MoveEast;1;1;1;49
False;MoveSouth;MoveEast;1;1;1;50
False;MoveSouth;MoveEast;1;1;1;51
False;MoveSouth;MoveEast;1;1;1;52
False;MoveSouth;MoveEast;1;1;1;53
False;MoveSouth;MoveEast;1;1;1;54
False;MoveSouthEast;MoveEast;1;1;1;55
False;MoveSouthEast;MoveEast;1;1;1;56
False;MoveSouthEast;OpenDoorAction;1;1;1;57
False;MoveEast;OpenDoorAction;1;2;1;58
False;MoveEast;MoveNorth;1;2;1;59
False;MoveEast;MoveNorth;1;3;1;60
False;MoveEast;GrabObject;1;3;1;61
False;MoveEast;GrabObject;1;4;1;62
False;MoveEast;MoveSouthEast;1;4;1;63
False;MoveEast;MoveSouthEast;1;4;1;64
False;MoveEast;MoveSouthEast;1;4;1;65
False;MoveEast;MoveSouthEast;1;4;1;66
False;MoveEast;MoveSouthEast;1;4;1;67
False;MoveEast;MoveSouthEast;1;4;1;68
False;MoveEast;MoveSouth;1;4;1;69
False;MoveEast;MoveSouth;1;4;1;70
False;MoveEast;MoveSouth;1;4;1;71
False;MoveEast;MoveSouth;1;4;1;72
False;MoveEast;MoveSouth;1;4;1;73
False;MoveEast;MoveSouth;1;4;1;74
False;MoveEast;MoveSouthWest;1;4;1;75
False;MoveEast;MoveSouthWest;1;4;1;76
False;MoveEast;MoveSouthWest;1;4;1;77
False;MoveEast;MoveSouthWest;1;4;1;78
False;MoveEast;MoveSouthWest;1;4;1;79
False;MoveEast;MoveSouthWest;1;4;1;80
False;MoveEast;MoveWest;1;4;1;81
False;MoveEast;MoveWest;1;4;1;82
False;MoveEast;MoveWest;1;4;1;83
False;MoveEast;MoveWest;1;4;1;84
False;MoveEast;MoveSouthWest;1;4;1;85
False;MoveEast;MoveSouthWest;1;4;1;86
False;MoveEast;DropObject;1;4;1;87
False;MoveEast;DropObject;1;5;1;88
False;MoveEast;MoveNorthEast;1;5;1;89
False;MoveEast;MoveNorthEast;1;6;1;90
False;MoveEast;MoveNorthEast;1;6;1;91
False;MoveEast;MoveNorthEast;1;6;1;92
False;MoveEast;MoveNorthEast;1;6;1;93
False;MoveEast;MoveNorthEast;1;6;1;94
False;MoveEast;OpenDoorAction;1;6;1;95
False;MoveEast;OpenDoorAction;1;7;1;96
False;MoveEast;MoveNorth;1;7;1;97
False;MoveEast;MoveNorth;1;8;1;98
False;MoveEast;MoveNorthWest;1;8;1;99
False;MoveEast;MoveNorthWest;1;8;1;100
False;MoveEast;MoveNorthWest;1;8;1;101
False;MoveEast;MoveNorthWest;1;8;1;102
False;OpenDoorAction;MoveSouth;1;8;1;103
False;OpenDoorAction;MoveSouth;2;8;1;104
False;OpenDoorAction;MoveNorthEast;2;8;1;105
False;MoveNorth;MoveNorthEast;2;8;1;106
False;MoveNorth;MoveSouth;3;8;1;107
False;MoveNorth;MoveSouth;3;8;1;108
False;MoveNorthWest;MoveNorthEast;3;8;1;109
False;MoveNorthWest;MoveNorthEast;3;8;1;110
False;MoveNorthWest;MoveSouth;3;8;1;111
False;MoveNorthWest;MoveSouth;3;8;1;112
False;MoveNorthWest;MoveNorthEast;3;8;1;113
False;MoveNorthWest;MoveNorthEast;3;8;1;114
False;MoveSouth;MoveSouth;3;8;1;115
False;MoveSouth;MoveSouth;3;8;1;116
False;MoveSouth;MoveSouthWest;3;8;1;117
False;MoveNorthEast;MoveSouthWest;3;9;1;118
False;MoveNorthEast;MoveSouthEast;3;9;1;119
False;MoveNorthEast;MoveSouthEast;3;9;1;120
False;MoveSouth;MoveEast;3;9;1;121
False;MoveSouth;MoveEast;3;9;1;122
False;MoveSouth;MoveNorthEast;3;9;1;123
False;MoveNorthEast;MoveNorthEast;3;9;1;124
False;MoveNorthEast;MoveNorth;3;9;1;125
False;MoveNorthEast;MoveNorth;3;9;1;126
False;GrabObject;MoveNorth;3;9;1;127
False;GrabObject;MoveNorth;4;9;1;128
False;GrabObject;MoveNorth;4;9;1;129
False;MoveSouth;MoveNorth;4;9;1;130
False;MoveSouth;MoveNorthWest;4;9;1;131
False;MoveSouth;MoveNorthWest;4;9;1;132
False;MoveSouth;MoveWest;4;9;1;133
False;MoveSouth;MoveWest;4;9;1;134
False;MoveSouth;MoveWest;4;9;1;135
False;MoveSouthWest;MoveWest;4;9;1;136
False;MoveSouthWest;MoveWest;4;9;1;137
False;MoveSouthWest;MoveWest;4;9;1;138
False;MoveSouthWest;MoveWest;4;9;1;139
False;MoveSouthWest;MoveWest;4;9;1;140
False;MoveSouthWest;MoveWest;4;9;1;141
False;MoveSouthWest;MoveWest;4;9;1;142
False;MoveSouthWest;MoveWest;4;9;1;143
False;MoveSouthWest;MoveWest;4;9;1;144
False;DropObject;MoveWest;4;9;1;145
False;DropObject;MoveWest;5;9;1;146
False;DropObject;MoveWest;5;9;1;147
False;MoveSouth;MoveWest;5;9;1;148
False;MoveSouth;MoveWest;5;9;1;149
False;MoveSouth;MoveWest;5;9;1;150
False;MoveNorthEast;MoveWest;5;9;1;151
False;MoveNorthEast;MoveWest;6;9;1;152
False;MoveNorthEast;MoveWest;6;9;1;153
False;MoveNorthEast;MoveWest;6;9;1;154
False;MoveNorthEast;MoveWest;6;9;1;155
False;MoveNorthEast;MoveWest;6;9;1;156
False;MoveNorthEast;MoveNorthWest;6;9;1;157
False;MoveNorthEast;MoveNorthWest;6;9;1;158
False;MoveNorthEast;MoveWest;6;9;1;159
False;MoveEast;MoveWest;6;9;1;160
False;MoveEast;OpenDoorAction;6;9;1;161
False;MoveEast;OpenDoorAction;6;10;1;162
False;MoveEast;MoveNorth;6;10;1;163
False;MoveEast;MoveNorth;6;11;1;164
False;MoveEast;MoveNorthWest;6;11;1;165
False;MoveNorthEast;MoveNorthWest;6;11;1;166
False;MoveNorthEast;MoveNorthWest;6;11;1;167
False;MoveNorthEast;MoveNorthWest;6;11;1;168
False;MoveNorth;MoveSouth;6;11;1;169
False;MoveNorth;MoveSouth;6;11;1;170
False;MoveNorth;MoveNorthEast;6;11;1;171
False;MoveNorth;MoveNorthEast;6;11;1;172
False;MoveNorth;MoveSouth;6;11;1;173
False;MoveNorth;MoveSouth;6;11;1;174
False;MoveNorth;MoveNorthEast;6;11;1;175
False;MoveNorth;MoveNorthEast;6;11;1;176
False;MoveNorth;MoveSouth;6;11;1;177
False;MoveNorthWest;MoveSouth;6;11;1;178
False;MoveNorthWest;MoveNorthEast;6;11;1;179
False;MoveNorthWest;MoveNorthEast;6;11;1;180
False;MoveWest;MoveSouth;6;11;1;181
False;MoveWest;MoveSouth;6;11;1;182
False;MoveWest;MoveSouthWest;6;11;1;183
False;MoveWest;MoveSouthWest;6;12;1;184
