done;baseagent_acts;baseagent1_acts;baseagent_mssg;baseagent1_mssg;world_nr;tick_nr
False;;;0;0;1;0
False;MoveSouth;MoveSouth;0;0;1;1
False;MoveSouth;MoveSouth;1;1;1;2
False;MoveSouth;MoveSouth;1;1;1;3
False;MoveSouth;MoveSouth;1;1;1;4
False;MoveSouth;MoveSouth;1;1;1;5
False;MoveSouth;MoveSouth;1;1;1;6
False;MoveSouth;MoveSouth;1;1;1;7
False;MoveSouth;MoveSouth;1;1;1;8
False;MoveSouth;MoveSouth;1;1;1;9
False;MoveSouth;MoveSouth;1;1;1;10
False;MoveSouth;MoveSouth;1;1;1;11
False;MoveSouth;MoveSouth;1;1;1;12
False;MoveSouth;MoveSouthEast;1;1;1;13
False;MoveSouth;MoveSouthEast;1;1;1;14
False;MoveSouth;MoveEast;1;1;1;15
False;MoveSouth;MoveEast;1;1;1;16
False;MoveSouth;MoveEast;1;1;1;17
False;MoveSouth;MoveEast;1;1;1;18
False;MoveSouthEast;MoveEast;1;1;1;19
False;MoveSouthEast;MoveEast;1;1;1;20
False;MoveSouth;MoveEast;1;1;1;21
False;MoveSouth;MoveEast;1;1;1;22
False;MoveSouth;MoveEast;1;1;1;23
False;MoveSouth;MoveEast;1;1;1;24
False;MoveSouth;MoveEast;1;1;1;25
False;MoveSouth;MoveEast;1;1;1;26
False;MoveSouth;MoveEast;1;1;1;27
False;MoveSouth;MoveEast;1;1;1;28
False;MoveSouth;MoveEast;1;1;1;29
False;MoveSouth;MoveEast;1;1;1;30
False;MoveSouth;MoveEast;1;1;1;31
False;MoveSouth;MoveEast;1;1;1;32
False;MoveSouth;OpenDoorAction;1;1;1;33
False;MoveSouth;OpenDoorAction;1;2;1;34
