done;baseagent_acts;liaragent_acts;baseagent_mssg;liaragent_mssg;world_nr;tick_nr
False;;;0;0;1;0
False;MoveSouthEast;MoveSouth;0;0;1;1
False;MoveSouthEast;MoveSouth;1;1;1;2
False;MoveSouth;MoveSouth;1;1;1;3
False;MoveSouth;MoveSouth;1;1;1;4
False;MoveSouth;MoveSouth;1;1;1;5
False;MoveSouth;MoveSouth;1;1;1;6
False;MoveSouth;MoveSouth;1;1;1;7
False;MoveSouth;MoveSouth;1;1;1;8
False;MoveSouth;MoveSouth;1;1;1;9
False;MoveSouth;MoveSouth;1;1;1;10
False;MoveSouth;MoveSouth;1;1;1;11
False;MoveSouth;MoveSouth;1;1;1;12
False;MoveSouth;MoveSouth;1;1;1;13
False;MoveSouth;MoveSouth;1;1;1;14
False;MoveSouth;MoveSouth;1;1;1;15
False;MoveSouth;MoveSouth;1;1;1;16
False;MoveSouth;MoveSouth;1;1;1;17
False;MoveSouth;MoveSouth;1;1;1;18
False;MoveSouth;MoveSouth;1;1;1;19
False;MoveSouth;MoveSouth;1;1;1;20
False;MoveSouth;MoveSouth;1;1;1;21
False;MoveSouth;MoveSouth;1;1;1;22
False;MoveSouth;MoveSouth;1;1;1;23
False;MoveSouth;MoveSouth;1;1;1;24
False;MoveSouthEast;MoveSouth;1;1;1;25
False;MoveSouthEast;MoveSouth;1;1;1;26
False;MoveEast;MoveSouth;1;1;1;27
False;MoveEast;MoveSouth;1;1;1;28
False;MoveEast;MoveSouth;1;1;1;29
False;MoveEast;MoveSouth;1;1;1;30
False;MoveEast;MoveSouth;1;1;1;31
False;MoveEast;MoveSouth;1;1;1;32
False;MoveEast;MoveSouth;1;1;1;33
False;MoveEast;MoveSouth;1;1;1;34
False;MoveEast;MoveSouth;1;1;1;35
False;MoveEast;MoveSouth;1;1;1;36
False;MoveEast;MoveSouthEast;1;1;1;37
False;MoveEast;MoveSouthEast;1;1;1;38
False;MoveEast;MoveEast;1;1;1;39
False;MoveEast;MoveEast;1;1;1;40
False;MoveEast;MoveEast;1;1;1;41
False;MoveEast;MoveEast;1;1;1;42
False;MoveEast;MoveEast;1;1;1;43
False;MoveEast;MoveEast;1;1;1;44
False;OpenDoorAction;MoveEast;1;1;1;45
False;OpenDoorAction;MoveEast;2;1;1;46
False;MoveNorth;MoveEast;2;1;1;47
False;MoveNorth;MoveEast;3;1;1;48
False;MoveNorthWest;MoveEast;3;1;1;49
False;MoveNorthWest;MoveEast;3;1;1;50
False;MoveNorthWest;MoveEast;3;1;1;51
False;MoveNorthWest;MoveEast;3;1;1;52
False;GrabObject;MoveEast;3;1;1;53
False;GrabObject;MoveEast;4;1;1;54
False;MoveSouthEast;MoveEast;4;1;1;55
False;MoveSouthEast;MoveEast;4;1;1;56
False;MoveSouthEast;OpenDoorAction;4;1;1;57
False;MoveSouthEast;OpenDoorAction;4;2;1;58
False;MoveSouthEast;MoveNorth;4;2;1;59
False;MoveSouthEast;MoveNorth;4;3;1;60
False;MoveSouthEast;MoveNorthWest;4;3;1;61
False;MoveSouthEast;MoveNorthWest;4;3;1;62
False;MoveEast;MoveNorthWest;4;3;1;63
False;MoveEast;MoveNorthWest;4;3;1;64
False;MoveEast;MoveSouth;4;3;1;65
False;MoveEast;MoveSouth;4;3;1;66
False;MoveEast;MoveNorthEast;4;3;1;67
False;MoveEast;MoveNorthEast;4;3;1;68
False;MoveEast;MoveSouth;4;3;1;69
False;MoveEast;MoveSouth;4;3;1;70
False;MoveEast;MoveNorthEast;4;3;1;71
False;MoveEast;MoveNorthEast;4;3;1;72
False;MoveEast;MoveSouth;4;3;1;73
False;MoveEast;MoveSouth;4;3;1;74
False;MoveSouthEast;MoveNorthEast;4;3;1;75
False;MoveSouthEast;MoveNorthEast;4;3;1;76
False;MoveSouth;MoveSouth;4;3;1;77
False;MoveSouth;MoveSouth;4;3;1;78
False;MoveSouth;MoveSouthWest;4;3;1;79
False;MoveSouth;MoveSouthWest;4;4;1;80
False;MoveSouth;MoveSouthWest;4;4;1;81
False;MoveSouth;MoveSouthWest;4;4;1;82
False;MoveSouthWest;MoveWest;4;4;1;83
False;MoveSouthWest;MoveWest;4;4;1;84
False;MoveWest;MoveWest;4;4;1;85
False;MoveWest;MoveWest;4;4;1;86
False;MoveWest;MoveWest;4;4;1;87
False;MoveWest;MoveWest;4;4;1;88
False;MoveWest;MoveWest;4;4;1;89
False;MoveWest;MoveWest;4;4;1;90
False;MoveWest;MoveWest;4;4;1;91
False;MoveWest;MoveWest;4;4;1;92
False;MoveWest;MoveWest;4;4;1;93
False;MoveWest;MoveWest;4;4;1;94
False;MoveWest;MoveWest;4;4;1;95
False;MoveWest;MoveWest;4;4;1;96
False;MoveWest;MoveWest;4;4;1;97
False;MoveWest;MoveWest;4;4;1;98
False;MoveSouthWest;MoveNorthWest;4;4;1;99
False;MoveSouthWest;MoveNorthWest;4;4;1;100
False;DropObject;MoveNorth;4;4;1;101
False;DropObject;MoveNorth;5;4;1;102
False;MoveEast;MoveNorth;5;4;1;103
False;MoveEast;MoveNorth;6;4;1;104
False;MoveEast;MoveNorth;6;4;1;105
False;MoveEast;MoveNorth;6;4;1;106
False;MoveEast;MoveNorthEast;6;4;1;107
False;MoveEast;MoveNorthEast;6;4;1;108
False;MoveEast;MoveEast;6;4;1;109
False;MoveEast;MoveEast;6;4;1;110
False;MoveNorthEast;MoveNorthEast;6;4;1;111
False;MoveNorthEast;MoveNorthEast;6;4;1;112
False;MoveEast;MoveEast;6;4;1;113
False;MoveEast;MoveEast;6;4;1;114
False;OpenDoorAction;OpenDoorAction;6;4;1;115
False;OpenDoorAction;OpenDoorAction;7;5;1;116
False;MoveNorth;MoveNorth;7;5;1;117
False;MoveNorth;MoveNorth;8;6;1;118
False;MoveNorthWest;MoveNorthWest;8;6;1;119
False;MoveNorthWest;MoveNorthWest;8;6;1;120
False;MoveNorthWest;GrabObject;8;6;1;121
False;MoveNorthWest;GrabObject;8;7;1;122
False;MoveSouth;MoveSouthEast;8;7;1;123
False;MoveSouth;MoveSouthEast;8;7;1;124
False;MoveNorthEast;MoveSouthWest;8;7;1;125
False;MoveNorthEast;MoveSouthWest;8;7;1;126
False;MoveSouth;MoveSouthWest;8;7;1;127
False;MoveSouth;MoveSouthWest;8;7;1;128
False;MoveNorthEast;MoveWest;8;7;1;129
False;MoveNorthEast;MoveWest;8;7;1;130
False;GrabObject;MoveSouthWest;8;7;1;131
False;GrabObject;MoveSouthWest;9;7;1;132
False;MoveSouth;MoveSouth;9;7;1;133
False;MoveSouth;MoveSouth;9;7;1;134
False;MoveSouth;MoveSouth;9;7;1;135
False;MoveSouth;MoveSouth;9;7;1;136
False;MoveSouthWest;MoveSouth;9;7;1;137
False;MoveSouthWest;MoveSouth;9;7;1;138
False;MoveSouthWest;MoveSouthEast;9;7;1;139
False;MoveSouthWest;MoveSouthEast;9;7;1;140
False;MoveSouthWest;MoveEast;9;7;1;141
False;MoveSouthWest;MoveEast;9;7;1;142
False;DropObject;MoveEast;9;7;1;143
False;DropObject;MoveEast;10;7;1;144
False;MoveNorthEast;MoveEast;10;7;1;145
False;MoveNorthEast;MoveEast;11;7;1;146
False;MoveNorthEast;MoveEast;11;7;1;147
False;MoveNorthEast;MoveEast;11;7;1;148
False;MoveEast;MoveEast;11;7;1;149
False;MoveEast;MoveEast;11;7;1;150
False;MoveEast;MoveEast;11;7;1;151
False;MoveEast;MoveEast;11;7;1;152
False;MoveEast;MoveEast;11;7;1;153
False;MoveEast;MoveEast;11;7;1;154
False;MoveNorthEast;MoveEast;11;7;1;155
False;MoveNorthEast;MoveEast;11;7;1;156
False;MoveNorth;MoveSouthEast;11;7;1;157
False;MoveNorth;MoveSouthEast;11;7;1;158
False;MoveNorth;MoveEast;11;7;1;159
False;MoveNorth;MoveEast;11;7;1;160
False;MoveNorth;MoveEast;11;7;1;161
False;MoveNorth;MoveEast;11;7;1;162
False;MoveNorth;MoveSouthEast;11;7;1;163
False;MoveNorth;MoveSouthEast;11;7;1;164
False;MoveNorth;DropObject;11;7;1;165
False;MoveNorth;DropObject;11;8;1;166
False;MoveNorth;MoveNorthEast;11;8;1;167
False;MoveNorth;MoveNorthEast;11;9;1;168
False;MoveNorth;MoveNorthEast;11;9;1;169
False;MoveNorth;MoveNorthEast;11;9;1;170
False;MoveNorth;MoveEast;11;9;1;171
False;MoveNorth;MoveEast;11;9;1;172
False;MoveNorth;MoveEast;11;9;1;173
False;MoveNorth;MoveEast;11;9;1;174
False;MoveNorthWest;MoveEast;11;9;1;175
False;MoveNorthWest;MoveEast;11;9;1;176
False;MoveWest;MoveNorthEast;11;9;1;177
False;MoveWest;MoveNorthEast;11;9;1;178
False;MoveWest;MoveNorth;11;9;1;179
False;MoveWest;MoveNorth;11;9;1;180
False;MoveWest;MoveNorth;11;9;1;181
False;MoveWest;MoveNorth;11;9;1;182
False;MoveWest;MoveNorth;11;9;1;183
False;MoveWest;MoveNorth;11;9;1;184
False;MoveWest;MoveNorth;11;9;1;185
False;MoveWest;MoveNorth;11;9;1;186
