done;baseagent0_acts;baseagent1_acts;baseagent2_acts;baseagent0_mssg;baseagent1_mssg;baseagent2_mssg;world_nr;tick_nr
False;;;;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;12
False;MoveSouth;MoveSouthEast;MoveSouthEast;1;1;1;1;13
False;MoveSouth;MoveSouthEast;MoveSouthEast;1;1;1;1;14
False;MoveSouth;MoveEast;MoveEast;1;1;1;1;15
False;MoveSouth;MoveEast;MoveEast;1;1;1;1;16
False;MoveSouth;MoveEast;MoveEast;1;1;1;1;17
False;MoveSouth;MoveEast;MoveEast;1;1;1;1;18
False;MoveSouth;MoveEast;MoveEast;1;1;1;1;19
False;MoveSouth;MoveEast;MoveEast;1;1;1;1;20
False;MoveSouth;MoveEast;OpenDoorAction;1;1;1;1;21
False;MoveSouth;MoveEast;OpenDoorAction;1;1;2;1;22
False;MoveSouth;MoveEast;MoveNorth;1;1;2;1;23
False;MoveSouth;MoveEast;MoveNorth;1;1;3;1;24
False;MoveSouthEast;MoveEast;MoveNorthWest;1;1;3;1;25
False;MoveSouthEast;MoveEast;MoveNorthWest;1;1;3;1;26
False;MoveEast;MoveEast;MoveNorthWest;1;1;3;1;27
False;MoveEast;MoveEast;MoveNorthWest;1;1;3;1;28
False;MoveEast;MoveEast;GrabObject;1;1;3;1;29
False;MoveEast;MoveEast;GrabObject;1;1;4;1;30
False;MoveEast;MoveEast;MoveSouthEast;1;1;4;1;31
False;MoveEast;MoveEast;MoveSouthEast;1;1;4;1;32
False;MoveEast;OpenDoorAction;MoveSouthEast;1;1;4;1;33
False;MoveEast;OpenDoorAction;MoveSouthEast;1;2;4;1;34
False;MoveEast;MoveNorth;MoveSouthWest;1;2;4;1;35
False;MoveEast;MoveNorth;MoveSouthWest;1;3;4;1;36
False;MoveEast;MoveNorthWest;MoveSouthWest;1;3;4;1;37
False;MoveEast;MoveNorthWest;MoveSouthWest;1;3;4;1;38
False;MoveEast;MoveNorthWest;MoveWest;1;3;4;1;39
False;MoveEast;MoveNorthWest;MoveWest;1;3;4;1;40
False;MoveEast;MoveSouth;MoveSouthWest;1;3;4;1;41
False;MoveEast;MoveSouth;MoveSouthWest;1;3;4;1;42
False;MoveEast;MoveNorthEast;MoveSouth;1;3;4;1;43
False;MoveEast;MoveNorthEast;MoveSouth;1;3;4;1;44
False;OpenDoorAction;GrabObject;MoveSouth;1;3;4;1;45
False;OpenDoorAction;GrabObject;MoveSouth;2;4;4;1;46
False;MoveNorth;MoveSouth;MoveSouth;2;4;4;1;47
False;MoveNorth;MoveSouth;MoveSouth;3;4;4;1;48
False;MoveNorthWest;MoveSouthEast;MoveSouth;3;4;4;1;49
False;MoveNorthWest;MoveSouthEast;MoveSouth;3;4;4;1;50
False;MoveNorthWest;MoveSouthEast;MoveSouth;3;4;4;1;51
False;MoveNorthWest;MoveSouthEast;MoveSouth;3;4;4;1;52
False;GrabObject;MoveSouthEast;MoveSouth;3;4;4;1;53
False;GrabObject;MoveSouthEast;MoveSouth;4;4;4;1;54
False;MoveSouthEast;MoveEast;MoveSouth;4;4;4;1;55
False;MoveSouthEast;MoveEast;MoveSouth;4;4;4;1;56
False;MoveSouthEast;MoveEast;MoveSouth;4;4;4;1;57
False;MoveSouthEast;MoveEast;MoveSouth;4;4;4;1;58
False;MoveSouthEast;MoveEast;MoveSouth;4;4;4;1;59
False;MoveSouthEast;MoveEast;MoveSouth;4;4;4;1;60
False;MoveSouthEast;MoveEast;MoveSouthEast;4;4;4;1;61
False;MoveSouthEast;MoveEast;MoveSouthEast;4;4;4;1;62
False;MoveEast;MoveEast;MoveEast;4;4;4;1;63
False;MoveEast;MoveEast;MoveEast;4;4;4;1;64
False;MoveEast;MoveEast;MoveEast;4;4;4;1;65
False;MoveEast;MoveEast;MoveEast;4;4;4;1;66
False;MoveEast;MoveSouthEast;MoveEast;4;4;4;1;67
False;MoveEast;MoveSouthEast;MoveEast;4;4;4;1;68
False;MoveEast;MoveSouth;MoveSouthEast;4;4;4;1;69
False;MoveEast;MoveSouth;MoveSouthEast;4;4;4;1;70
False;MoveEast;MoveSouth;MoveEast;4;4;4;1;71
False;MoveEast;MoveSouth;MoveEast;4;4;4;1;72
False;MoveEast;MoveSouth;MoveSouthEast;4;4;4;1;73
False;MoveEast;MoveSouth;MoveSouthEast;4;4;4;1;74
False;MoveSouthEast;MoveSouth;MoveEast;4;4;4;1;75
False;MoveSouthEast;MoveSouth;MoveEast;4;4;4;1;76
False;MoveSouth;MoveSouth;MoveEast;4;4;4;1;77
False;MoveSouth;MoveSouth;MoveEast;4;4;4;1;78
False;MoveSouth;MoveSouth;MoveSouthEast;4;4;4;1;79
False;MoveSouth;MoveSouth;MoveSouthEast;4;4;4;1;80
False;MoveSouth;MoveSouth;DropObject;4;4;4;1;81
False;MoveSouth;MoveSouth;DropObject;4;4;5;1;82
False;MoveSouthWest;MoveSouth;MoveNorthWest;4;4;5;1;83
False;MoveSouthWest;MoveSouth;MoveNorthWest;4;4;6;1;84
False;MoveWest;MoveSouth;MoveNorthWest;4;4;6;1;85
False;MoveWest;MoveSouth;MoveNorthWest;4;4;6;1;86
False;MoveWest;MoveSouthWest;MoveNorthWest;4;4;6;1;87
False;MoveWest;MoveSouthWest;MoveNorthWest;4;4;6;1;88
False;MoveWest;MoveWest;MoveWest;4;4;6;1;89
False;MoveWest;MoveWest;MoveWest;4;4;6;1;90
False;MoveWest;MoveWest;MoveWest;4;4;6;1;91
False;MoveWest;MoveWest;MoveWest;4;4;6;1;92
False;MoveSouthWest;MoveWest;MoveWest;4;4;6;1;93
False;MoveSouthWest;MoveWest;MoveWest;4;4;6;1;94
False;DropObject;MoveWest;MoveWest;4;4;6;1;95
False;DropObject;MoveWest;MoveWest;5;4;6;1;96
False;MoveWest;MoveSouthWest;MoveWest;5;4;6;1;97
False;MoveWest;MoveSouthWest;MoveWest;6;4;6;1;98
False;MoveNorthWest;DropObject;MoveWest;6;4;6;1;99
False;MoveNorthWest;DropObject;MoveWest;6;5;6;1;100
False;MoveWest;MoveWest;MoveNorthWest;6;5;6;1;101
False;MoveWest;MoveWest;MoveNorthWest;6;6;6;1;102
False;OpenDoorAction;MoveNorthWest;MoveNorth;6;6;6;1;103
False;OpenDoorAction;MoveNorthWest;MoveNorth;7;6;6;1;104
False;MoveNorth;MoveWest;MoveNorth;7;6;6;1;105
False;MoveNorth;MoveWest;MoveNorth;8;6;6;1;106
False;MoveNorthWest;OpenDoorAction;MoveNorth;8;6;6;1;107
