done;baseagent0_acts;blindagent_acts;secondblind_acts;thirdblind_acts;fourthblind_acts;lazyagent_acts;baseagent0_mssg;blindagent_mssg;secondblind_mssg;thirdblind_mssg;fourthblind_mssg;lazyagent_mssg;world_nr;tick_nr
False;;;;;;;0;0;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveSouthEast;MoveSouthEast;0;0;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveSouthEast;MoveSouthEast;1;1;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthEast;MoveSouthEast;1;1;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthEast;MoveSouthEast;1;1;1;1;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveEast;MoveEast;1;1;1;1;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveEast;MoveEast;1;1;1;1;1;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;12
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;13
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;14
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;15
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;16
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;17
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;18
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;19
False;MoveEast;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;20
False;OpenDoorAction;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;1;1;1;1;1;1;1;21
False;OpenDoorAction;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;2;1;1;1;1;1;1;22
False;MoveNorth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;2;1;1;1;1;1;1;23
False;MoveNorth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;3;1;1;1;1;1;1;24
False;MoveNorthWest;MoveSouth;MoveSouthEast;MoveSouth;MoveEast;MoveEast;3;1;1;1;1;1;1;25
False;MoveNorthWest;MoveSouth;MoveSouthEast;MoveSouth;MoveEast;MoveEast;3;1;1;1;1;1;1;26
False;MoveNorthWest;MoveSouth;MoveEast;MoveSouth;MoveEast;MoveEast;3;1;1;1;1;1;1;27
False;MoveNorthWest;MoveSouth;MoveEast;MoveSouth;MoveEast;MoveEast;3;1;1;1;1;1;1;28
False;GrabObject;MoveSouth;MoveEast;MoveSouth;MoveEast;MoveSouthEast;3;1;1;1;1;1;1;29
False;GrabObject;MoveSouth;MoveEast;MoveSouth;MoveEast;MoveSouthEast;4;1;1;1;1;1;1;30
False;MoveSouthEast;MoveSouth;MoveEast;MoveSouth;MoveSouthEast;MoveSouth;4;1;1;1;1;1;1;31
False;MoveSouthEast;MoveSouth;MoveEast;MoveSouth;MoveSouthEast;MoveSouth;4;1;1;1;1;1;1;32
False;MoveSouthEast;MoveSouth;OpenDoorAction;MoveSouth;MoveSouth;MoveSouth;4;1;1;1;1;1;1;33
False;MoveSouthEast;MoveSouth;OpenDoorAction;MoveSouth;MoveSouth;MoveSouth;4;1;2;1;1;1;1;34
False;MoveSouthWest;MoveSouth;MoveNorth;MoveSouth;MoveSouth;MoveSouth;4;1;2;1;1;1;1;35
False;MoveSouthWest;MoveSouth;MoveNorth;MoveSouth;MoveSouth;MoveSouth;4;1;3;1;1;1;1;36
False;MoveSouthWest;MoveSouthEast;MoveNorthWest;MoveSouthEast;MoveSouth;MoveSouth;4;1;3;1;1;1;1;37
False;MoveSouthWest;MoveSouthEast;MoveNorthWest;MoveSouthEast;MoveSouth;MoveSouth;4;1;3;1;1;1;1;38
False;MoveWest;MoveEast;MoveNorthWest;MoveEast;MoveSouth;MoveSouth;4;1;3;1;1;1;1;39
False;MoveWest;MoveEast;MoveNorthWest;MoveEast;MoveSouth;MoveSouth;4;1;3;1;1;1;1;40
False;MoveSouthWest;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;4;1;3;1;1;1;1;41
False;MoveSouthWest;MoveEast;MoveSouth;MoveEast;MoveSouth;MoveSouth;4;1;3;1;1;1;1;42
False;MoveSouth;MoveEast;MoveNorthEast;MoveEast;MoveSouth;MoveSouth;4;1;3;1;1;1;1;43
False;MoveSouth;MoveEast;MoveNorthEast;MoveEast;MoveSouth;MoveSouth;4;1;3;1;1;1;1;44
False;MoveSouth;OpenDoorAction;MoveSouth;MoveEast;MoveSouth;MoveSouth;4;1;3;1;1;1;1;45
False;MoveSouth;OpenDoorAction;MoveSouth;MoveEast;MoveSouth;MoveSouth;4;2;3;1;1;1;1;46
False;MoveSouth;MoveNorth;MoveNorthEast;MoveEast;MoveSouth;MoveSouth;4;2;3;1;1;1;1;47
False;MoveSouth;MoveNorth;MoveNorthEast;MoveEast;MoveSouth;MoveSouth;4;3;3;1;1;1;1;48
False;MoveSouth;MoveNorthWest;MoveSouth;MoveEast;MoveSouth;MoveSouthWest;4;3;3;1;1;1;1;49
False;MoveSouth;MoveNorthWest;MoveSouth;MoveEast;MoveSouth;MoveSouthWest;4;3;3;1;1;1;1;50
False;MoveSouth;MoveNorthWest;MoveNorthEast;MoveEast;MoveSouth;MoveWest;4;3;3;1;1;1;1;51
False;MoveSouth;MoveNorthWest;MoveNorthEast;MoveEast;MoveSouth;MoveWest;4;3;3;1;1;1;1;52
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouth;MoveWest;4;3;3;1;1;1;1;53
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouth;MoveWest;4;3;3;1;1;1;1;54
False;MoveSouth;MoveNorthEast;MoveSouthWest;MoveEast;MoveSouth;OpenDoorAction;4;3;3;1;1;1;1;55
False;MoveSouth;MoveNorthEast;MoveSouthWest;MoveEast;MoveSouth;OpenDoorAction;4;3;4;1;1;2;1;56
False;MoveSouth;MoveSouth;MoveSouthEast;MoveEast;MoveSouth;MoveNorth;4;3;4;1;1;2;1;57
False;MoveSouth;MoveSouth;MoveSouthEast;MoveEast;MoveSouth;MoveNorth;4;3;4;1;1;3;1;58
False;MoveSouth;MoveNorthEast;MoveEast;MoveEast;MoveSouth;GrabObject;4;3;4;1;1;3;1;59
False;MoveSouth;MoveNorthEast;MoveEast;MoveEast;MoveSouth;GrabObject;4;3;4;1;1;4;1;60
False;MoveSouthEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveSouthEast;4;3;4;1;1;4;1;61
