done;strongagent_acts;strongagent1_acts;blindagent_acts;secondblind_acts;thirdblind_acts;fourthblind_acts;strongagent_mssg;strongagent1_mssg;blindagent_mssg;secondblind_mssg;thirdblind_mssg;fourthblind_mssg;world_nr;tick_nr
False;;;;;;;0;0;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveSouthEast;MoveSouthWest;0;0;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveSouthEast;MoveSouthWest;1;1;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthEast;MoveSouthWest;1;1;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthEast;MoveSouthWest;1;1;1;1;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveEast;MoveWest;1;1;1;1;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveEast;MoveWest;1;1;1;1;1;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouthWest;1;1;1;1;1;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouthWest;1;1;1;1;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;1;1;12
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthEast;MoveEast;MoveSouth;1;1;1;1;1;1;1;13
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthEast;MoveEast;MoveSouth;1;1;1;1;1;1;1;14
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveSouthEast;1;1;1;1;1;1;1;15
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveSouthEast;1;1;1;1;1;1;1;16
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveEast;1;1;1;1;1;1;1;17
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveEast;1;1;1;1;1;1;1;18
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveEast;1;1;1;1;1;1;1;19
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveEast;1;1;1;1;1;1;1;20
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveEast;1;1;1;1;1;1;1;21
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;MoveEast;1;1;1;1;1;1;1;22
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;OpenDoorAction;1;1;1;1;1;1;1;23
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveEast;OpenDoorAction;1;1;1;1;1;2;1;24
False;MoveSouth;MoveSouthEast;MoveSouthEast;MoveEast;MoveEast;MoveNorth;1;1;1;1;1;2;1;25
False;MoveSouth;MoveSouthEast;MoveSouthEast;MoveEast;MoveEast;MoveNorth;1;1;1;1;1;3;1;26
False;MoveSouth;MoveEast;MoveEast;MoveEast;MoveEast;MoveNorthWest;1;1;1;1;1;3;1;27
False;MoveSouth;MoveEast;MoveEast;MoveEast;MoveEast;MoveNorthWest;1;1;1;1;1;3;1;28
False;MoveSouth;MoveEast;MoveEast;MoveEast;MoveEast;GrabObject;1;1;1;1;1;3;1;29
False;MoveSouth;MoveEast;MoveEast;MoveEast;MoveEast;GrabObject;1;1;1;1;1;4;1;30
False;MoveSouth;MoveEast;MoveEast;MoveEast;MoveSouthEast;MoveSouthEast;1;1;1;1;1;4;1;31
False;MoveSouth;MoveEast;MoveEast;MoveEast;MoveSouthEast;MoveSouthEast;1;1;1;1;1;4;1;32
False;MoveSouth;OpenDoorAction;MoveEast;OpenDoorAction;MoveSouth;MoveSouthWest;1;1;1;1;1;4;1;33
False;MoveSouth;OpenDoorAction;MoveEast;OpenDoorAction;MoveSouth;MoveSouthWest;1;2;1;2;1;4;1;34
False;MoveSouth;MoveNorth;MoveEast;MoveNorth;MoveSouth;MoveSouthWest;1;2;1;2;1;4;1;35
False;MoveSouth;MoveNorth;MoveEast;MoveNorth;MoveSouth;MoveSouthWest;1;3;1;3;1;4;1;36
False;MoveSouthEast;MoveNorthWest;MoveEast;MoveNorthWest;MoveSouth;MoveWest;1;3;1;3;1;4;1;37
False;MoveSouthEast;MoveNorthWest;MoveEast;MoveNorthWest;MoveSouth;MoveWest;1;3;1;3;1;4;1;38
False;MoveEast;GrabObject;MoveEast;MoveNorthWest;MoveSouthWest;MoveSouthWest;1;3;1;3;1;4;1;39
False;MoveEast;GrabObject;MoveEast;MoveNorthWest;MoveSouthWest;MoveSouthWest;1;4;1;3;1;4;1;40
False;MoveEast;MoveSouthEast;MoveEast;MoveSouth;MoveWest;MoveSouth;1;4;1;3;1;4;1;41
False;MoveEast;MoveSouthEast;MoveEast;MoveSouth;MoveWest;MoveSouth;1;5;1;3;1;4;1;42
False;MoveEast;MoveSouthEast;MoveEast;MoveNorthEast;MoveWest;MoveSouth;1;5;1;3;1;4;1;43
False;MoveEast;MoveSouthEast;MoveEast;MoveNorthEast;MoveWest;MoveSouth;1;5;1;3;1;4;1;44
False;MoveEast;MoveEast;OpenDoorAction;GrabObject;OpenDoorAction;MoveSouth;1;5;1;3;1;4;1;45
False;MoveEast;MoveEast;OpenDoorAction;GrabObject;OpenDoorAction;MoveSouth;1;5;2;4;2;4;1;46
False;MoveEast;MoveEast;MoveNorth;MoveSouth;MoveNorth;MoveSouth;1;5;2;4;2;4;1;47
False;MoveEast;MoveEast;MoveNorth;MoveSouth;MoveNorth;MoveSouth;1;5;3;4;3;4;1;48
False;MoveEast;MoveEast;MoveNorthWest;MoveSouthEast;MoveNorthWest;MoveSouth;1;5;3;4;3;4;1;49
False;MoveEast;MoveEast;MoveNorthWest;MoveSouthEast;MoveNorthWest;MoveSouth;1;5;3;4;3;4;1;50
False;MoveEast;MoveEast;MoveNorthWest;MoveSouthEast;GrabObject;MoveSouth;1;5;3;4;3;4;1;51
