done;baseagent0_acts;baseagent1_acts;baseagent2_acts;baseagent3_acts;baseagent0_mssg;baseagent1_mssg;baseagent2_mssg;baseagent3_mssg;world_nr;tick_nr
False;;;;;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;12
False;MoveSouthEast;MoveSouthEast;MoveSouthEast;MoveSouthEast;1;1;1;1;1;13
False;MoveSouthEast;MoveSouthEast;MoveSouthEast;MoveSouthEast;1;1;1;1;1;14
False;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;1;1;15
False;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;1;1;16
False;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;1;1;17
False;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;1;1;18
False;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;1;1;19
False;MoveEast;MoveEast;MoveEast;MoveEast;1;1;1;1;1;20
False;MoveEast;MoveEast;MoveEast;OpenDoorAction;1;1;1;1;1;21
False;MoveEast;MoveEast;MoveEast;OpenDoorAction;1;1;1;2;1;22
False;MoveEast;MoveEast;MoveEast;MoveNorth;1;1;1;2;1;23
False;MoveEast;MoveEast;MoveEast;MoveNorth;1;1;1;3;1;24
False;MoveEast;MoveEast;MoveEast;MoveNorthWest;1;1;1;3;1;25
False;MoveEast;MoveEast;MoveEast;MoveNorthWest;1;1;1;3;1;26
False;MoveEast;MoveEast;MoveEast;MoveNorthWest;1;1;1;3;1;27
False;MoveEast;MoveEast;MoveEast;MoveNorthWest;1;1;1;3;1;28
False;MoveEast;MoveEast;MoveEast;GrabObject;1;1;1;3;1;29
False;MoveEast;MoveEast;MoveEast;GrabObject;1;1;1;4;1;30
False;MoveEast;MoveEast;MoveEast;MoveSouthEast;1;1;1;4;1;31
False;MoveEast;MoveEast;MoveEast;MoveSouthEast;1;1;1;4;1;32
False;OpenDoorAction;MoveEast;OpenDoorAction;MoveSouthEast;1;1;1;4;1;33
False;OpenDoorAction;MoveEast;OpenDoorAction;MoveSouthEast;2;1;2;4;1;34
False;MoveNorth;MoveEast;MoveNorth;MoveSouthWest;2;1;2;4;1;35
False;MoveNorth;MoveEast;MoveNorth;MoveSouthWest;3;1;3;4;1;36
False;MoveNorthWest;MoveEast;MoveNorthWest;MoveSouthWest;3;1;3;4;1;37
False;MoveNorthWest;MoveEast;MoveNorthWest;MoveSouthWest;3;1;3;4;1;38
False;MoveNorthWest;MoveEast;MoveNorthWest;MoveWest;3;1;3;4;1;39
False;MoveNorthWest;MoveEast;MoveNorthWest;MoveWest;3;1;3;4;1;40
False;MoveSouth;MoveEast;MoveSouth;MoveSouthWest;3;1;3;4;1;41
False;MoveSouth;MoveEast;MoveSouth;MoveSouthWest;3;1;3;4;1;42
False;MoveNorthEast;MoveEast;MoveNorthEast;MoveSouth;3;1;3;4;1;43
False;MoveNorthEast;MoveEast;MoveNorthEast;MoveSouth;3;1;3;4;1;44
False;GrabObject;OpenDoorAction;GrabObject;MoveSouth;3;1;3;4;1;45
False;GrabObject;OpenDoorAction;GrabObject;MoveSouth;4;2;4;4;1;46
False;MoveSouth;MoveNorth;MoveSouth;MoveSouth;4;2;4;4;1;47
False;MoveSouth;MoveNorth;MoveSouth;MoveSouth;4;3;5;4;1;48
