done;strongagent_acts;strongagent1_acts;strongagent2_acts;strongagent3_acts;strongagent_mssg;strongagent1_mssg;strongagent2_mssg;strongagent3_mssg;world_nr;tick_nr
False;;;;;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;12
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;13
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;14
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;15
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;16
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;17
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;18
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;19
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;20
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;21
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;22
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;23
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;24
False;MoveSouth;MoveSouth;MoveSouthEast;MoveSouth;1;1;1;1;1;25
False;MoveSouth;MoveSouth;MoveSouthEast;MoveSouth;1;1;1;1;1;26
False;MoveSouth;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;27
False;MoveSouth;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;28
False;MoveSouth;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;29
False;MoveSouth;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;30
False;MoveSouth;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;31
False;MoveSouth;MoveSouth;MoveEast;MoveSouth;1;1;1;1;1;32
False;MoveSouth;MoveSouth;OpenDoorAction;MoveSouth;1;1;1;1;1;33
False;MoveSouth;MoveSouth;OpenDoorAction;MoveSouth;1;1;2;1;1;34
False;MoveSouth;MoveSouth;MoveNorth;MoveSouth;1;1;2;1;1;35
False;MoveSouth;MoveSouth;MoveNorth;MoveSouth;1;1;3;1;1;36
False;MoveSouthEast;MoveSouthEast;MoveNorthWest;MoveSouthEast;1;1;3;1;1;37
False;MoveSouthEast;MoveSouthEast;MoveNorthWest;MoveSouthEast;1;1;3;1;1;38
False;MoveEast;MoveEast;GrabObject;MoveEast;1;1;3;1;1;39
False;MoveEast;MoveEast;GrabObject;MoveEast;1;1;4;1;1;40
False;MoveEast;MoveEast;MoveSouthEast;MoveEast;1;1;4;1;1;41
False;MoveEast;MoveEast;MoveSouthEast;MoveEast;1;1;5;1;1;42
False;MoveEast;MoveEast;MoveSouthEast;MoveEast;1;1;5;1;1;43
False;MoveEast;MoveEast;MoveSouthEast;MoveEast;1;1;5;1;1;44
False;MoveEast;MoveEast;MoveEast;OpenDoorAction;1;1;5;1;1;45
False;MoveEast;MoveEast;MoveEast;OpenDoorAction;1;1;5;2;1;46
False;MoveEast;MoveEast;MoveEast;MoveNorth;1;1;5;2;1;47
False;MoveEast;MoveEast;MoveEast;MoveNorth;1;1;5;3;1;48
