done;strongagent0_acts;strongagent1_acts;strongagent2_acts;strongagent3_acts;strongagent4_acts;strongagent5_acts;strongagent0_mssg;strongagent1_mssg;strongagent2_mssg;strongagent3_mssg;strongagent4_mssg;strongagent5_mssg;world_nr;tick_nr
False;;;;;;;0;0;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthEast;0;0;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthEast;1;1;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveSouthEast;1;1;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveSouthEast;1;1;1;1;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveSouthWest;MoveEast;1;1;1;1;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveSouthWest;MoveEast;1;1;1;1;1;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;1;1;1;1;1;1;1;12
False;MoveSouthEast;MoveSouth;MoveSouthEast;MoveSouthEast;MoveSouth;MoveEast;1;1;1;1;1;1;1;13
False;MoveSouthEast;MoveSouth;MoveSouthEast;MoveSouthEast;MoveSouth;MoveEast;1;1;1;1;1;1;1;14
False;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;1;1;15
False;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;1;1;16
False;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;1;1;17
False;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;1;1;18
False;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;1;1;19
False;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;1;1;20
False;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;1;1;21
False;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;1;1;22
False;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;1;1;23
False;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;1;1;24
False;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;1;1;25
False;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;1;1;26
False;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;1;1;27
False;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;1;1;28
False;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveSouthEast;1;1;1;1;1;1;1;29
False;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveSouthEast;1;1;1;1;1;1;1;30
False;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;1;1;31
False;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;1;1;32
False;MoveEast;MoveSouth;OpenDoorAction;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;1;1;33
False;MoveEast;MoveSouth;OpenDoorAction;MoveEast;MoveSouth;MoveSouth;1;1;2;1;1;1;1;34
False;MoveEast;MoveSouth;MoveNorth;MoveEast;MoveSouth;MoveSouth;1;1;2;1;1;1;1;35
False;MoveEast;MoveSouth;MoveNorth;MoveEast;MoveSouth;MoveSouth;1;1;3;1;1;1;1;36
False;MoveEast;MoveSouthEast;MoveNorthWest;MoveEast;MoveSouthEast;MoveSouth;1;1;3;1;1;1;1;37
False;MoveEast;MoveSouthEast;MoveNorthWest;MoveEast;MoveSouthEast;MoveSouth;1;1;3;1;1;1;1;38
False;MoveEast;MoveEast;MoveNorthWest;MoveEast;MoveEast;MoveSouth;1;1;3;1;1;1;1;39
False;MoveEast;MoveEast;MoveNorthWest;MoveEast;MoveEast;MoveSouth;1;1;3;1;1;1;1;40
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;3;1;1;1;1;41
False;MoveEast;MoveEast;MoveSouth;MoveEast;MoveEast;MoveSouth;1;1;3;1;1;1;1;42
False;MoveEast;MoveEast;MoveNorthEast;MoveEast;MoveEast;MoveSouth;1;1;3;1;1;1;1;43
False;MoveEast;MoveEast;MoveNorthEast;MoveEast;MoveEast;MoveSouth;1;1;3;1;1;1;1;44
False;OpenDoorAction;OpenDoorAction;GrabObject;OpenDoorAction;OpenDoorAction;MoveSouth;1;1;3;1;1;1;1;45
False;OpenDoorAction;OpenDoorAction;GrabObject;OpenDoorAction;OpenDoorAction;MoveSouth;2;2;4;2;2;1;1;46
False;MoveNorth;MoveNorth;MoveSouth;MoveNorth;MoveNorth;MoveSouth;2;2;4;2;2;1;1;47
False;MoveNorth;MoveNorth;MoveSouth;MoveNorth;MoveNorth;MoveSouth;3;3;5;3;3;1;1;48
False;MoveNorthWest;MoveNorthWest;MoveSouthEast;MoveNorthWest;MoveNorthWest;MoveSouthWest;3;3;5;3;3;1;1;49
False;MoveNorthWest;MoveNorthWest;MoveSouthEast;MoveNorthWest;MoveNorthWest;MoveSouthWest;3;3;5;3;3;1;1;50
False;GrabObject;MoveNorthWest;MoveSouthWest;GrabObject;MoveNorthWest;MoveWest;3;3;5;3;3;1;1;51
False;GrabObject;MoveNorthWest;MoveSouthWest;GrabObject;MoveNorthWest;MoveWest;4;3;5;4;3;1;1;52
False;MoveSouthEast;MoveSouth;MoveWest;MoveSouthEast;MoveSouth;MoveWest;4;3;5;4;3;1;1;53
False;MoveSouthEast;MoveSouth;MoveWest;MoveSouthEast;MoveSouth;MoveWest;4;3;5;5;3;1;1;54
False;MoveSouthEast;MoveNorthEast;MoveWest;MoveSouthEast;MoveNorthEast;OpenDoorAction;4;3;5;5;3;1;1;55
