done;liaragent_acts;strongagent0_acts;blindagent_acts;lazyagent_acts;liaragent_mssg;strongagent0_mssg;blindagent_mssg;lazyagent_mssg;world_nr;tick_nr
False;;;;;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;1;1;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;12
False;MoveSouthEast;MoveSouthEast;MoveSouth;MoveSouth;1;1;1;1;1;13
False;MoveSouthEast;MoveSouthEast;MoveSouth;MoveSouth;1;1;1;1;1;14
False;MoveEast;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;15
False;MoveEast;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;16
False;MoveEast;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;17
False;MoveEast;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;18
False;MoveEast;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;19
False;MoveEast;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;20
False;MoveEast;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;21
False;MoveEast;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;22
False;MoveEast;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;23
False;MoveEast;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;24
False;MoveEast;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;25
False;MoveEast;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;26
False;MoveEast;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;27
False;MoveEast;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;28
False;MoveEast;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;29
False;MoveEast;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;30
False;MoveEast;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;31
False;MoveEast;MoveEast;MoveSouth;MoveSouth;1;1;1;1;1;32
False;OpenDoorAction;OpenDoorAction;MoveSouth;MoveSouth;1;1;1;1;1;33
False;OpenDoorAction;OpenDoorAction;MoveSouth;MoveSouth;2;2;1;1;1;34
False;MoveNorth;MoveNorth;MoveSouth;MoveSouth;2;2;1;1;1;35
False;MoveNorth;MoveNorth;MoveSouth;MoveSouth;3;3;1;1;1;36
False;MoveNorthWest;MoveNorthWest;MoveSouthEast;MoveSouthEast;3;3;1;1;1;37
False;MoveNorthWest;MoveNorthWest;MoveSouthEast;MoveSouthEast;3;3;1;1;1;38
False;MoveNorthWest;MoveNorthWest;MoveEast;MoveEast;3;3;1;1;1;39
False;MoveNorthWest;MoveNorthWest;MoveEast;MoveEast;3;3;1;1;1;40
False;MoveSouth;MoveSouth;MoveEast;MoveEast;3;3;1;1;1;41
False;MoveSouth;MoveSouth;MoveEast;MoveEast;3;3;1;1;1;42
False;MoveNorthEast;MoveNorthEast;MoveEast;MoveEast;3;3;1;1;1;43
False;MoveNorthEast;MoveNorthEast;MoveEast;MoveEast;3;3;1;1;1;44
False;GrabObject;GrabObject;MoveEast;MoveEast;3;3;1;1;1;45
False;GrabObject;GrabObject;MoveEast;MoveEast;4;4;1;2;1;46
False;MoveSouth;MoveSouth;MoveEast;MoveEast;4;4;1;2;1;47
False;MoveSouth;MoveSouth;MoveEast;MoveEast;4;5;1;2;1;48
