done;lazyagent_acts;lazyagent1_acts;lazyagent2_acts;lazyagent3_acts;lazyagent_mssg;lazyagent1_mssg;lazyagent2_mssg;lazyagent3_mssg;world_nr;tick_nr
False;;;;;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;2;1;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;2;1;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;1;3;1;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;3;1;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;3;1;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;3;1;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;3;1;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;3;1;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;1;3;1;1;1;12
False;MoveSouth;MoveSouthEast;MoveSouthEast;MoveSouthEast;1;3;1;1;1;13
False;MoveSouth;MoveSouthEast;MoveSouthEast;MoveSouthEast;1;3;1;1;1;14
False;MoveSouth;MoveEast;MoveEast;MoveEast;1;3;1;1;1;15
False;MoveSouth;MoveEast;MoveEast;MoveEast;1;3;1;1;1;16
False;MoveSouth;MoveEast;MoveEast;MoveEast;1;3;1;1;1;17
False;MoveSouth;MoveEast;MoveEast;MoveEast;1;3;1;1;1;18
False;MoveSouth;MoveEast;MoveEast;MoveEast;1;3;1;1;1;19
False;MoveSouth;MoveEast;MoveEast;MoveEast;1;3;1;1;1;20
False;MoveSouth;MoveSouthWest;MoveEast;MoveSouthWest;1;3;1;1;1;21
False;MoveSouth;MoveSouthWest;MoveEast;MoveSouthWest;1;4;1;2;1;22
False;MoveSouth;MoveWest;MoveEast;MoveWest;1;4;1;2;1;23
False;MoveSouth;MoveWest;MoveEast;MoveWest;1;4;1;2;1;24
False;MoveSouthEast;MoveWest;MoveEast;MoveWest;1;4;1;2;1;25
False;MoveSouthEast;MoveWest;MoveEast;MoveWest;1;4;1;2;1;26
False;MoveEast;MoveSouthWest;MoveEast;MoveSouthWest;1;4;1;2;1;27
False;MoveEast;MoveSouthWest;MoveEast;MoveSouthWest;1;4;1;2;1;28
False;MoveEast;MoveSouth;MoveEast;MoveSouth;1;4;1;2;1;29
False;MoveEast;MoveSouth;MoveEast;MoveSouth;1;4;1;2;1;30
False;MoveEast;MoveSouth;MoveEast;MoveSouth;1;4;1;2;1;31
False;MoveEast;MoveSouth;MoveEast;MoveSouth;1;4;1;2;1;32
False;MoveEast;MoveSouth;MoveEast;MoveSouth;1;4;1;2;1;33
False;MoveEast;MoveSouth;MoveEast;MoveSouth;1;4;1;2;1;34
False;MoveEast;MoveSouth;MoveEast;MoveSouthEast;1;4;1;2;1;35
False;MoveEast;MoveSouth;MoveEast;MoveSouthEast;1;4;1;2;1;36
False;MoveEast;MoveSouth;MoveEast;MoveEast;1;4;1;2;1;37
False;MoveEast;MoveSouth;MoveEast;MoveEast;1;4;1;2;1;38
False;MoveEast;MoveSouth;MoveEast;MoveEast;1;4;1;2;1;39
False;MoveEast;MoveSouth;MoveEast;MoveEast;1;4;1;2;1;40
False;MoveEast;MoveSouth;MoveEast;MoveEast;1;4;1;2;1;41
False;MoveEast;MoveSouth;MoveEast;MoveEast;1;4;1;2;1;42
False;MoveEast;MoveSouth;MoveEast;MoveWest;1;4;1;2;1;43
False;MoveEast;MoveSouth;MoveEast;MoveWest;1;4;1;3;1;44
False;OpenDoorAction;MoveSouth;MoveSouthEast;MoveEast;1;4;1;3;1;45
False;OpenDoorAction;MoveSouth;MoveSouthEast;MoveEast;2;4;2;4;1;46
False;MoveWest;MoveSouthEast;MoveEast;MoveEast;2;4;2;4;1;47
False;MoveWest;MoveSouthEast;MoveEast;MoveEast;3;4;2;4;1;48
False;MoveWest;MoveEast;MoveSouthEast;MoveEast;3;4;2;4;1;49
