done;strongagent1_acts;strongagent2_acts;lazyagent0_acts;lazyagent1_acts;lazyagent2_acts;lazyagent3_acts;lazyagent4_acts;lazyagent5_acts;strongagent1_mssg;strongagent2_mssg;lazyagent0_mssg;lazyagent1_mssg;lazyagent2_mssg;lazyagent3_mssg;lazyagent4_mssg;lazyagent5_mssg;world_nr;tick_nr
False;;;;;;;;;0;0;0;0;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthEast;MoveSouthWest;MoveSouthEast;0;0;0;0;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthEast;MoveSouthWest;MoveSouthEast;1;1;1;1;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveSouthEast;MoveSouthWest;MoveSouthEast;1;1;1;1;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveSouthEast;MoveSouthWest;MoveSouthEast;1;1;1;1;1;1;2;1;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveSouthWest;MoveEast;MoveWest;MoveEast;1;1;1;1;1;1;2;1;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;MoveSouthWest;MoveEast;MoveWest;MoveEast;1;1;1;1;1;1;2;1;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveWest;MoveEast;1;1;1;1;1;1;2;1;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveWest;MoveEast;1;1;1;1;1;1;2;1;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouthWest;MoveEast;1;1;1;1;1;1;2;1;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouthWest;MoveEast;1;1;1;1;1;1;2;1;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;1;2;1;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveSouth;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;1;2;1;1;12
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;MoveSouthEast;MoveEast;MoveSouth;MoveEast;1;1;1;1;1;1;2;1;1;13
