done;baseagent0_acts;baseagent1_acts;baseagent0_mssg;baseagent1_mssg;world_nr;tick_nr
False;;;0;0;1;0
False;MoveSouthEast;MoveSouth;0;0;1;1
False;MoveSouthEast;MoveSouth;1;1;1;2
False;MoveSouth;MoveSouth;1;1;1;3
False;MoveSouth;MoveSouth;2;2;1;4
False;MoveSouth;MoveSouth;2;2;1;5
False;MoveSouth;MoveSouth;3;3;1;6
False;MoveSouth;MoveSouth;3;3;1;7
False;MoveSouth;MoveSouth;4;4;1;8
False;MoveSouth;MoveSouth;4;4;1;9
False;MoveSouth;MoveSouth;5;5;1;10
False;MoveSouth;MoveSouth;5;5;1;11
False;MoveSouth;MoveSouth;6;6;1;12
False;MoveSouthEast;MoveSouth;6;6;1;13
False;MoveSouthEast;MoveSouth;7;7;1;14
False;MoveEast;MoveSouth;7;7;1;15
False;MoveEast;MoveSouth;8;8;1;16
False;MoveEast;MoveSouth;8;8;1;17
False;MoveEast;MoveSouth;9;9;1;18
False;MoveEast;MoveSouth;9;9;1;19
False;MoveEast;MoveSouth;10;10;1;20
False;OpenDoorAction;MoveSouth;10;10;1;21
False;OpenDoorAction;MoveSouth;11;11;1;22
False;MoveNorth;MoveSouth;11;11;1;23
False;MoveNorth;MoveSouth;12;12;1;24
False;MoveNorthWest;MoveSouth;12;12;1;25
False;MoveNorthWest;MoveSouth;13;13;1;26
False;MoveNorthWest;MoveSouth;13;13;1;27
False;MoveNorthWest;MoveSouth;14;14;1;28
False;GrabObject;MoveSouth;14;14;1;29
False;GrabObject;MoveSouth;15;15;1;30
False;MoveSouthEast;MoveSouth;15;15;1;31
False;MoveSouthEast;MoveSouth;16;16;1;32
False;MoveSouthEast;MoveSouth;16;16;1;33
False;MoveSouthEast;MoveSouth;17;17;1;34
False;MoveSouthWest;MoveSouth;17;17;1;35
False;MoveSouthWest;MoveSouth;18;18;1;36
False;MoveSouthWest;MoveSouthEast;18;18;1;37
False;MoveSouthWest;MoveSouthEast;19;19;1;38
False;MoveWest;MoveEast;19;19;1;39
False;MoveWest;MoveEast;20;20;1;40
False;MoveSouthWest;MoveEast;20;20;1;41
False;MoveSouthWest;MoveEast;21;21;1;42
False;MoveSouth;MoveEast;21;21;1;43
False;MoveSouth;MoveEast;22;22;1;44
False;MoveSouth;OpenDoorAction;22;22;1;45
False;MoveSouth;OpenDoorAction;23;23;1;46
False;MoveSouth;MoveNorth;23;23;1;47
False;MoveSouth;MoveNorth;24;24;1;48
False;MoveSouth;MoveNorthWest;24;24;1;49
False;MoveSouth;MoveNorthWest;25;25;1;50
False;MoveSouth;MoveNorthWest;25;25;1;51
False;MoveSouth;MoveNorthWest;26;26;1;52
False;MoveSouth;MoveSouth;26;26;1;53
False;MoveSouth;MoveSouth;27;27;1;54
False;MoveSouth;MoveNorthEast;27;27;1;55
False;MoveSouth;MoveNorthEast;28;28;1;56
False;MoveSouth;MoveSouth;28;28;1;57
False;MoveSouth;MoveSouth;29;29;1;58
False;MoveSouth;MoveNorthEast;29;29;1;59
False;MoveSouth;MoveNorthEast;30;30;1;60
False;MoveSouthEast;MoveSouth;30;30;1;61
False;MoveSouthEast;MoveSouth;31;31;1;62
False;MoveEast;MoveNorthEast;31;31;1;63
False;MoveEast;MoveNorthEast;32;32;1;64
False;MoveEast;MoveSouth;32;32;1;65
False;MoveEast;MoveSouth;33;33;1;66
False;MoveEast;MoveSouthWest;33;33;1;67
False;MoveEast;MoveSouthWest;34;34;1;68
False;MoveSouthEast;MoveSouthEast;34;34;1;69
False;MoveSouthEast;MoveSouthEast;35;35;1;70
False;MoveEast;MoveEast;35;35;1;71
False;MoveEast;MoveEast;36;36;1;72
False;MoveSouthEast;MoveEast;36;36;1;73
False;MoveSouthEast;MoveEast;37;37;1;74
False;MoveEast;MoveEast;37;37;1;75
False;MoveEast;MoveEast;38;38;1;76
False;MoveEast;MoveEast;38;38;1;77
False;MoveEast;MoveEast;39;39;1;78
False;MoveSouthEast;MoveEast;39;39;1;79
False;MoveSouthEast;MoveEast;40;40;1;80
False;DropObject;OpenDoorAction;40;40;1;81
False;DropObject;OpenDoorAction;41;41;1;82
False;MoveNorthWest;MoveNorth;41;41;1;83
False;MoveNorthWest;MoveNorth;42;42;1;84
False;MoveNorthWest;MoveNorthWest;42;42;1;85
False;MoveNorthWest;MoveNorthWest;43;43;1;86
False;MoveNorthWest;MoveNorthWest;43;43;1;87
False;MoveNorthWest;MoveNorthWest;44;44;1;88
False;MoveWest;MoveSouth;44;44;1;89
False;MoveWest;MoveSouth;45;45;1;90
False;MoveWest;MoveNorthEast;45;45;1;91
False;MoveWest;MoveNorthEast;46;46;1;92
False;MoveWest;MoveSouth;46;46;1;93
False;MoveWest;MoveSouth;47;47;1;94
False;MoveWest;MoveNorthEast;47;47;1;95
False;MoveWest;MoveNorthEast;48;48;1;96
False;MoveWest;MoveSouth;48;48;1;97
False;MoveWest;MoveSouth;49;49;1;98
False;MoveWest;MoveNorthEast;49;49;1;99
False;MoveWest;MoveNorthEast;50;50;1;100
False;MoveNorthWest;MoveSouth;50;50;1;101
False;MoveNorthWest;MoveSouth;51;51;1;102
False;MoveNorth;MoveSouthWest;51;51;1;103
False;MoveNorth;MoveSouthWest;52;52;1;104
False;MoveNorth;MoveSouthWest;52;52;1;105
False;MoveNorth;MoveSouthWest;53;53;1;106
False;MoveNorth;MoveWest;53;53;1;107
False;MoveNorth;MoveWest;54;54;1;108
False;MoveNorthEast;MoveWest;54;54;1;109
False;MoveNorthEast;MoveWest;55;55;1;110
False;MoveEast;MoveWest;55;55;1;111
False;MoveEast;MoveWest;56;56;1;112
False;MoveNorthEast;MoveWest;56;56;1;113
False;MoveNorthEast;MoveWest;57;57;1;114
False;MoveEast;MoveWest;57;57;1;115
False;MoveEast;MoveWest;58;58;1;116
False;OpenDoorAction;MoveWest;58;58;1;117
False;OpenDoorAction;MoveWest;59;59;1;118
False;MoveNorth;MoveWest;59;59;1;119
False;MoveNorth;MoveWest;60;60;1;120
False;MoveNorthWest;MoveWest;60;60;1;121
False;MoveNorthWest;MoveWest;61;61;1;122
False;GrabObject;MoveNorthWest;61;61;1;123
False;GrabObject;MoveNorthWest;62;62;1;124
False;MoveSouthEast;MoveNorth;62;62;1;125
False;MoveSouthEast;MoveNorth;63;63;1;126
False;MoveSouthWest;MoveNorth;63;63;1;127
False;MoveSouthWest;MoveNorth;64;64;1;128
False;MoveSouthWest;MoveNorth;64;64;1;129
False;MoveSouthWest;MoveNorth;65;65;1;130
False;MoveWest;MoveNorthEast;65;65;1;131
False;MoveWest;MoveNorthEast;66;66;1;132
False;MoveSouthWest;MoveEast;66;66;1;133
False;MoveSouthWest;MoveEast;67;67;1;134
False;MoveSouth;MoveNorthEast;67;67;1;135
False;MoveSouth;MoveNorthEast;68;68;1;136
False;MoveSouth;MoveEast;68;68;1;137
False;MoveSouth;MoveEast;69;69;1;138
False;MoveSouth;OpenDoorAction;69;69;1;139
False;MoveSouth;OpenDoorAction;70;70;1;140
False;MoveSouthEast;MoveNorth;70;70;1;141
False;MoveSouthEast;MoveNorth;71;71;1;142
False;MoveEast;MoveNorthWest;71;71;1;143
False;MoveEast;MoveNorthWest;72;72;1;144
False;MoveEast;MoveNorthWest;72;72;1;145
False;MoveEast;MoveNorthWest;73;73;1;146
False;MoveEast;MoveSouth;73;73;1;147
False;MoveEast;MoveSouth;74;74;1;148
False;MoveEast;MoveNorthEast;74;74;1;149
False;MoveEast;MoveNorthEast;75;75;1;150
False;MoveEast;MoveSouth;75;75;1;151
False;MoveEast;MoveSouth;76;76;1;152
False;MoveSouthEast;MoveNorthEast;76;76;1;153
False;MoveSouthEast;MoveNorthEast;77;77;1;154
False;MoveEast;MoveSouth;77;77;1;155
False;MoveEast;MoveSouth;78;78;1;156
False;MoveEast;MoveNorthEast;78;78;1;157
False;MoveEast;MoveNorthEast;79;79;1;158
False;MoveSouthEast;MoveSouth;79;79;1;159
False;MoveSouthEast;MoveSouth;80;80;1;160
False;DropObject;MoveSouthWest;80;80;1;161
False;DropObject;MoveSouthWest;81;81;1;162
False;MoveNorthEast;MoveSouthEast;81;81;1;163
False;MoveNorthEast;MoveSouthEast;82;82;1;164
False;MoveNorthEast;MoveEast;82;82;1;165
False;MoveNorthEast;MoveEast;83;83;1;166
False;MoveEast;MoveEast;83;83;1;167
False;MoveEast;MoveEast;84;84;1;168
False;MoveEast;MoveEast;84;84;1;169
False;MoveEast;MoveEast;85;85;1;170
False;MoveEast;MoveEast;85;85;1;171
False;MoveEast;MoveEast;86;86;1;172
False;MoveEast;MoveEast;86;86;1;173
False;MoveEast;MoveEast;87;87;1;174
False;MoveEast;MoveEast;87;87;1;175
False;MoveEast;MoveEast;88;88;1;176
False;MoveEast;MoveEast;88;88;1;177
False;MoveEast;MoveEast;89;89;1;178
False;MoveNorthEast;MoveEast;89;89;1;179
False;MoveNorthEast;MoveEast;90;90;1;180
False;MoveNorth;MoveEast;90;90;1;181
False;MoveNorth;MoveEast;91;91;1;182
False;MoveNorth;MoveEast;91;91;1;183
