done;baseagent0_acts;baseagent1_acts;lazyagent0_acts;baseagent0_mssg;baseagent1_mssg;lazyagent0_mssg;world_nr;tick_nr
False;;;;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;2;2;2;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;2;2;2;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;3;3;3;1;6
False;MoveSouth;MoveSouth;MoveSouth;3;3;3;1;7
False;MoveSouth;MoveSouth;MoveSouth;4;4;4;1;8
False;MoveSouth;MoveSouth;MoveSouth;4;4;4;1;9
False;MoveSouth;MoveSouth;MoveSouth;5;5;5;1;10
False;MoveSouth;MoveSouth;MoveSouth;5;5;5;1;11
False;MoveSouth;MoveSouth;MoveSouth;6;6;6;1;12
False;MoveSouth;MoveSouth;MoveSouth;6;6;6;1;13
False;MoveSouth;MoveSouth;MoveSouth;7;7;7;1;14
False;MoveSouth;MoveSouth;MoveSouth;7;7;7;1;15
False;MoveSouth;MoveSouth;MoveSouth;8;8;8;1;16
False;MoveSouth;MoveSouth;MoveSouth;8;8;8;1;17
False;MoveSouth;MoveSouth;MoveSouth;9;9;9;1;18
False;MoveSouth;MoveSouth;MoveSouth;9;9;9;1;19
False;MoveSouth;MoveSouth;MoveSouth;10;10;10;1;20
False;MoveSouth;MoveSouth;MoveSouth;10;10;10;1;21
False;MoveSouth;MoveSouth;MoveSouth;11;11;11;1;22
False;MoveSouth;MoveSouth;MoveSouth;11;11;11;1;23
False;MoveSouth;MoveSouth;MoveSouth;12;12;12;1;24
False;MoveSouth;MoveSouth;MoveSouth;12;12;12;1;25
False;MoveSouth;MoveSouth;MoveSouth;13;13;13;1;26
False;MoveSouth;MoveSouth;MoveSouth;13;13;13;1;27
False;MoveSouth;MoveSouth;MoveSouth;14;14;14;1;28
False;MoveSouth;MoveSouth;MoveSouth;14;14;14;1;29
False;MoveSouth;MoveSouth;MoveSouth;15;15;15;1;30
False;MoveSouth;MoveSouth;MoveSouth;15;15;15;1;31
False;MoveSouth;MoveSouth;MoveSouth;16;16;16;1;32
False;MoveSouth;MoveSouth;MoveSouth;16;16;16;1;33
False;MoveSouth;MoveSouth;MoveSouth;17;17;17;1;34
False;MoveSouth;MoveSouth;MoveSouth;17;17;17;1;35
False;MoveSouth;MoveSouth;MoveSouth;18;18;18;1;36
False;MoveSouthEast;MoveSouthEast;MoveSouthEast;18;18;18;1;37
False;MoveSouthEast;MoveSouthEast;MoveSouthEast;19;19;19;1;38
False;MoveEast;MoveEast;MoveEast;19;19;19;1;39
False;MoveEast;MoveEast;MoveEast;20;20;20;1;40
False;MoveEast;MoveEast;MoveEast;20;20;20;1;41
False;MoveEast;MoveEast;MoveEast;21;21;21;1;42
False;MoveEast;MoveEast;MoveEast;21;21;21;1;43
False;MoveEast;MoveEast;MoveEast;22;22;22;1;44
False;MoveEast;MoveEast;MoveEast;22;22;22;1;45
False;MoveEast;MoveEast;MoveEast;23;23;23;1;46
False;MoveEast;MoveEast;MoveEast;23;23;23;1;47
False;MoveEast;MoveEast;MoveEast;24;24;24;1;48
False;MoveEast;MoveEast;MoveEast;24;24;24;1;49
False;MoveEast;MoveEast;MoveEast;25;25;25;1;50
False;MoveEast;MoveEast;MoveEast;25;25;25;1;51
False;MoveEast;MoveEast;MoveEast;26;26;26;1;52
False;MoveEast;MoveEast;MoveEast;26;26;26;1;53
False;MoveEast;MoveEast;MoveEast;27;27;27;1;54
False;MoveEast;MoveEast;MoveEast;27;27;27;1;55
False;MoveEast;MoveEast;MoveEast;28;28;28;1;56
False;OpenDoorAction;OpenDoorAction;OpenDoorAction;28;28;28;1;57
False;OpenDoorAction;OpenDoorAction;OpenDoorAction;29;29;29;1;58
False;MoveNorth;MoveNorth;MoveWest;29;29;29;1;59
False;MoveNorth;MoveNorth;MoveWest;30;30;30;1;60
False;MoveNorthWest;MoveNorthWest;MoveWest;30;30;30;1;61
False;MoveNorthWest;MoveNorthWest;MoveWest;31;31;31;1;62
False;MoveNorthWest;MoveNorthWest;MoveWest;31;31;31;1;63
False;MoveNorthWest;MoveNorthWest;MoveWest;32;32;32;1;64
False;MoveSouth;MoveSouth;MoveWest;32;32;32;1;65
False;MoveSouth;MoveSouth;MoveWest;33;33;33;1;66
False;MoveNorthEast;MoveNorthEast;MoveWest;33;33;33;1;67
False;MoveNorthEast;MoveNorthEast;MoveWest;34;34;34;1;68
False;MoveSouth;MoveSouth;MoveWest;34;34;34;1;69
False;MoveSouth;MoveSouth;MoveWest;35;35;35;1;70
False;MoveNorthEast;MoveNorthEast;MoveWest;35;35;35;1;71
False;MoveNorthEast;MoveNorthEast;MoveWest;36;36;36;1;72
False;MoveSouth;MoveSouth;MoveWest;36;36;36;1;73
False;MoveSouth;MoveSouth;MoveWest;37;37;37;1;74
False;MoveNorthEast;MoveNorthEast;MoveWest;37;37;37;1;75
False;MoveNorthEast;MoveNorthEast;MoveWest;38;38;38;1;76
False;MoveSouth;MoveSouth;MoveNorthWest;38;38;38;1;77
False;MoveSouth;MoveSouth;MoveNorthWest;39;39;39;1;78
False;MoveSouthWest;MoveSouthWest;MoveNorth;39;39;39;1;79
False;MoveSouthWest;MoveSouthWest;MoveNorth;40;40;40;1;80
False;MoveSouthEast;MoveSouthEast;MoveNorth;40;40;40;1;81
False;MoveSouthEast;MoveSouthEast;MoveNorth;41;41;41;1;82
False;MoveEast;MoveEast;MoveNorth;41;41;41;1;83
False;MoveEast;MoveEast;MoveNorth;42;42;42;1;84
False;MoveEast;MoveEast;MoveNorth;42;42;42;1;85
False;MoveEast;MoveEast;MoveNorth;43;43;43;1;86
False;MoveEast;MoveEast;MoveNorth;43;43;43;1;87
False;MoveEast;MoveEast;MoveNorth;44;44;44;1;88
False;MoveEast;MoveEast;MoveNorth;44;44;44;1;89
False;MoveEast;MoveEast;MoveNorth;45;45;45;1;90
False;MoveEast;MoveEast;MoveNorth;45;45;45;1;91
False;MoveEast;MoveEast;MoveNorth;46;46;46;1;92
False;MoveEast;MoveEast;MoveNorth;46;46;46;1;93
False;MoveEast;MoveEast;MoveNorth;47;47;47;1;94
False;MoveEast;MoveEast;MoveNorth;47;47;47;1;95
False;MoveEast;MoveEast;MoveNorth;48;48;48;1;96
False;MoveNorthEast;MoveNorthEast;MoveNorthEast;48;48;48;1;97
False;MoveNorthEast;MoveNorthEast;MoveNorthEast;49;49;49;1;98
False;MoveNorth;MoveNorth;MoveEast;49;49;49;1;99
False;MoveNorth;MoveNorth;MoveEast;50;50;50;1;100
False;MoveNorth;MoveNorth;MoveNorthEast;50;50;50;1;101
False;MoveNorth;MoveNorth;MoveNorthEast;51;51;51;1;102
False;MoveNorth;MoveNorth;MoveEast;51;51;51;1;103
False;MoveNorth;MoveNorth;MoveEast;52;52;52;1;104
False;MoveNorthWest;MoveNorth;OpenDoorAction;52;52;52;1;105
False;MoveNorthWest;MoveNorth;OpenDoorAction;53;53;53;1;106
False;MoveNorthWest;MoveNorth;MoveSouthEast;53;53;53;1;107
False;MoveNorthWest;MoveNorth;MoveSouthEast;54;54;54;1;108
