done;baseagent0_acts;baseagent1_acts;liaragent_acts;baseagent0_mssg;baseagent1_mssg;liaragent_mssg;world_nr;tick_nr
False;;;;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;2;2;2;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;2;2;2;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;3;3;3;1;6
False;MoveSouth;MoveSouth;MoveSouth;3;3;3;1;7
False;MoveSouth;MoveSouth;MoveSouth;4;4;4;1;8
False;MoveSouth;MoveSouth;MoveSouth;4;4;4;1;9
False;MoveSouth;MoveSouth;MoveSouth;5;5;5;1;10
False;MoveSouth;MoveSouth;MoveSouth;5;5;5;1;11
False;MoveSouth;MoveSouth;MoveSouth;6;6;6;1;12
False;MoveSouth;MoveSouth;MoveSouthEast;6;6;6;1;13
False;MoveSouth;MoveSouth;MoveSouthEast;7;7;7;1;14
False;MoveSouth;MoveSouth;MoveEast;7;7;7;1;15
False;MoveSouth;MoveSouth;MoveEast;8;8;8;1;16
False;MoveSouth;MoveSouth;MoveEast;8;8;8;1;17
False;MoveSouth;MoveSouth;MoveEast;9;9;9;1;18
False;MoveSouth;MoveSouth;MoveEast;9;9;9;1;19
False;MoveSouth;MoveSouth;MoveEast;10;10;10;1;20
False;MoveSouth;MoveSouth;MoveEast;10;10;10;1;21
False;MoveSouth;MoveSouth;MoveEast;11;11;11;1;22
False;MoveSouth;MoveSouth;MoveEast;11;11;11;1;23
False;MoveSouth;MoveSouth;MoveEast;12;12;12;1;24
False;MoveSouth;MoveSouthEast;MoveEast;12;12;12;1;25
False;MoveSouth;MoveSouthEast;MoveEast;13;13;13;1;26
False;MoveSouth;MoveEast;MoveEast;13;13;13;1;27
False;MoveSouth;MoveEast;MoveEast;14;14;14;1;28
False;MoveSouth;MoveEast;MoveEast;14;14;14;1;29
False;MoveSouth;MoveEast;MoveEast;15;15;15;1;30
False;MoveSouth;MoveEast;MoveEast;15;15;15;1;31
False;MoveSouth;MoveEast;MoveEast;16;16;16;1;32
False;MoveSouth;MoveEast;OpenDoorAction;16;16;16;1;33
False;MoveSouth;MoveEast;OpenDoorAction;17;17;17;1;34
False;MoveSouth;MoveEast;MoveNorth;17;17;17;1;35
False;MoveSouth;MoveEast;MoveNorth;18;18;18;1;36
False;MoveSouthEast;MoveEast;MoveNorthWest;18;18;18;1;37
False;MoveSouthEast;MoveEast;MoveNorthWest;19;19;19;1;38
False;MoveEast;MoveEast;MoveNorthWest;19;19;19;1;39
False;MoveEast;MoveEast;MoveNorthWest;20;20;20;1;40
False;MoveEast;MoveEast;MoveSouth;20;20;20;1;41
False;MoveEast;MoveEast;MoveSouth;21;21;21;1;42
False;MoveEast;MoveEast;MoveNorthEast;21;21;21;1;43
False;MoveEast;MoveEast;MoveNorthEast;22;22;22;1;44
False;MoveEast;MoveEast;GrabObject;22;22;22;1;45
False;MoveEast;MoveEast;GrabObject;23;23;23;1;46
False;MoveEast;MoveEast;MoveSouth;23;23;23;1;47
False;MoveEast;MoveEast;MoveSouth;24;24;24;1;48
False;MoveEast;MoveEast;MoveSouthEast;24;24;24;1;49
False;MoveEast;MoveEast;MoveSouthEast;25;25;25;1;50
False;MoveEast;MoveEast;MoveSouthEast;25;25;25;1;51
False;MoveEast;MoveEast;MoveSouthEast;26;26;26;1;52
False;MoveEast;MoveEast;MoveSouthEast;26;26;26;1;53
False;MoveEast;MoveEast;MoveSouthEast;27;27;27;1;54
False;MoveEast;MoveEast;MoveEast;27;27;27;1;55
False;MoveEast;MoveEast;MoveEast;28;28;28;1;56
False;OpenDoorAction;OpenDoorAction;MoveEast;28;28;28;1;57
False;OpenDoorAction;OpenDoorAction;MoveEast;29;29;29;1;58
False;MoveNorth;MoveNorth;MoveEast;29;29;29;1;59
False;MoveNorth;MoveNorth;MoveEast;30;30;30;1;60
False;MoveNorthWest;GrabObject;MoveEast;30;30;30;1;61
False;MoveNorthWest;GrabObject;MoveEast;31;31;31;1;62
False;MoveNorthWest;MoveSouthEast;MoveEast;31;31;31;1;63
False;MoveNorthWest;MoveSouthEast;MoveEast;32;32;32;1;64
False;MoveSouth;MoveSouthEast;MoveEast;32;32;32;1;65
False;MoveSouth;MoveSouthEast;MoveEast;33;33;33;1;66
False;MoveNorthEast;MoveSouthEast;MoveSouthEast;33;33;33;1;67
False;MoveNorthEast;MoveSouthEast;MoveSouthEast;34;34;34;1;68
False;MoveSouth;MoveSouth;MoveSouth;34;34;34;1;69
False;MoveSouth;MoveSouth;MoveSouth;35;35;35;1;70
False;MoveNorthEast;MoveSouth;MoveSouth;35;35;35;1;71
False;MoveNorthEast;MoveSouth;MoveSouth;36;36;36;1;72
False;MoveSouth;MoveSouth;MoveSouth;36;36;36;1;73
False;MoveSouth;MoveSouth;MoveSouth;37;37;37;1;74
False;MoveNorthEast;MoveSouthWest;MoveSouth;37;37;37;1;75
False;MoveNorthEast;MoveSouthWest;MoveSouth;38;38;38;1;76
False;MoveSouth;MoveWest;MoveSouth;38;38;38;1;77
False;MoveSouth;MoveWest;MoveSouth;39;39;39;1;78
False;MoveSouthWest;MoveWest;MoveSouth;39;39;39;1;79
False;MoveSouthWest;MoveWest;MoveSouth;40;40;40;1;80
False;MoveSouthEast;MoveWest;MoveSouth;40;40;40;1;81
False;MoveSouthEast;MoveWest;MoveSouth;41;41;41;1;82
False;MoveEast;MoveWest;MoveSouth;41;41;41;1;83
False;MoveEast;MoveWest;MoveSouth;42;42;42;1;84
False;MoveEast;MoveSouthWest;MoveSouth;42;42;42;1;85
False;MoveEast;MoveSouthWest;MoveSouth;43;43;43;1;86
False;MoveEast;DropObject;MoveSouthWest;43;43;43;1;87
False;MoveEast;DropObject;MoveSouthWest;44;44;44;1;88
False;MoveEast;MoveNorthWest;MoveWest;44;44;44;1;89
False;MoveEast;MoveNorthWest;MoveWest;45;45;45;1;90
False;MoveEast;MoveWest;MoveWest;45;45;45;1;91
False;MoveEast;MoveWest;MoveWest;46;46;46;1;92
False;OpenDoorAction;MoveWest;MoveWest;46;46;46;1;93
False;OpenDoorAction;MoveWest;MoveWest;47;47;47;1;94
False;MoveNorth;MoveWest;MoveWest;47;47;47;1;95
False;MoveNorth;MoveWest;MoveWest;48;48;48;1;96
False;MoveNorthWest;MoveWest;MoveSouthWest;48;48;48;1;97
False;MoveNorthWest;MoveWest;MoveSouthWest;49;49;49;1;98
False;MoveNorthWest;MoveWest;DropObject;49;49;49;1;99
False;MoveNorthWest;MoveWest;DropObject;50;50;50;1;100
