done;baseagent0_acts;baseagent1_acts;liaragent_acts;liaragent1_acts;baseagent0_mssg;baseagent1_mssg;liaragent_mssg;liaragent1_mssg;world_nr;tick_nr
False;;;;;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;2;2;2;2;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;2;2;2;2;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;3;3;3;3;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;3;3;3;3;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;4;4;4;4;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;4;4;4;4;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;5;5;5;5;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;5;5;5;5;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;6;6;6;6;1;12
False;MoveSouth;MoveSouthEast;MoveSouthEast;MoveSouth;6;6;6;6;1;13
False;MoveSouth;MoveSouthEast;MoveSouthEast;MoveSouth;7;7;7;7;1;14
False;MoveSouth;MoveEast;MoveEast;MoveSouth;7;7;7;7;1;15
False;MoveSouth;MoveEast;MoveEast;MoveSouth;8;8;8;8;1;16
False;MoveSouth;MoveEast;MoveEast;MoveSouth;8;8;8;8;1;17
False;MoveSouth;MoveEast;MoveEast;MoveSouth;9;9;9;9;1;18
False;MoveSouth;MoveEast;MoveEast;MoveSouth;9;9;9;9;1;19
False;MoveSouth;MoveEast;MoveEast;MoveSouth;10;10;10;10;1;20
False;MoveSouth;MoveEast;OpenDoorAction;MoveSouth;10;10;10;10;1;21
False;MoveSouth;MoveEast;OpenDoorAction;MoveSouth;11;11;11;11;1;22
False;MoveSouth;MoveEast;MoveNorth;MoveSouth;11;11;11;11;1;23
False;MoveSouth;MoveEast;MoveNorth;MoveSouth;12;12;12;12;1;24
False;MoveSouth;MoveEast;MoveNorthWest;MoveSouthEast;12;12;12;12;1;25
False;MoveSouth;MoveEast;MoveNorthWest;MoveSouthEast;13;13;13;13;1;26
False;MoveSouth;MoveEast;MoveNorthWest;MoveEast;13;13;13;13;1;27
False;MoveSouth;MoveEast;MoveNorthWest;MoveEast;14;14;14;14;1;28
False;MoveSouth;MoveEast;GrabObject;MoveEast;14;14;14;14;1;29
False;MoveSouth;MoveEast;GrabObject;MoveEast;15;15;15;15;1;30
False;MoveSouth;MoveEast;MoveSouthEast;MoveEast;15;15;15;15;1;31
False;MoveSouth;MoveEast;MoveSouthEast;MoveEast;16;16;16;16;1;32
False;MoveSouth;MoveEast;MoveSouthEast;OpenDoorAction;16;16;16;16;1;33
False;MoveSouth;MoveEast;MoveSouthEast;OpenDoorAction;17;17;17;17;1;34
False;MoveSouth;MoveEast;MoveSouthWest;MoveNorth;17;17;17;17;1;35
False;MoveSouth;MoveEast;MoveSouthWest;MoveNorth;18;18;18;18;1;36
False;MoveSouthEast;MoveEast;MoveSouthWest;MoveNorthWest;18;18;18;18;1;37
False;MoveSouthEast;MoveEast;MoveSouthWest;MoveNorthWest;19;19;19;19;1;38
False;MoveEast;MoveEast;MoveWest;GrabObject;19;19;19;19;1;39
False;MoveEast;MoveEast;MoveWest;GrabObject;20;20;20;20;1;40
False;MoveEast;MoveEast;MoveSouthWest;MoveSouthEast;20;20;20;20;1;41
False;MoveEast;MoveEast;MoveSouthWest;MoveSouthEast;21;21;21;21;1;42
False;MoveEast;MoveEast;MoveSouth;MoveSouthWest;21;21;21;21;1;43
False;MoveEast;MoveEast;MoveSouth;MoveSouthWest;22;22;22;22;1;44
False;MoveEast;OpenDoorAction;MoveSouth;MoveSouthWest;22;22;22;22;1;45
False;MoveEast;OpenDoorAction;MoveSouth;MoveSouthWest;23;23;23;23;1;46
False;MoveEast;MoveNorth;MoveSouth;MoveWest;23;23;23;23;1;47
False;MoveEast;MoveNorth;MoveSouth;MoveWest;24;24;24;24;1;48
