done;liaragent_acts;liaragent1_acts;strongagent0_acts;strongagent1_acts;liaragent_mssg;liaragent1_mssg;strongagent0_mssg;strongagent1_mssg;world_nr;tick_nr
False;;;;;0;0;0;0;1;0
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;0;0;0;0;1;1
False;MoveSouthEast;MoveSouth;MoveSouth;MoveSouth;1;1;1;1;1;2
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;1;1;1;1;1;3
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthWest;2;2;2;2;1;4
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;2;2;2;2;1;5
False;MoveSouth;MoveSouth;MoveSouthWest;MoveSouthWest;3;3;3;3;1;6
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;3;3;3;3;1;7
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;4;4;4;4;1;8
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;4;4;4;4;1;9
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;5;5;5;5;1;10
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;5;5;5;5;1;11
False;MoveSouth;MoveSouth;MoveSouth;MoveSouth;6;6;6;6;1;12
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthEast;6;6;6;6;1;13
False;MoveSouth;MoveSouth;MoveSouth;MoveSouthEast;7;7;7;7;1;14
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;7;7;7;7;1;15
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;8;8;8;8;1;16
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;8;8;8;8;1;17
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;9;9;9;9;1;18
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;9;9;9;9;1;19
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;10;10;10;10;1;20
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;10;10;10;10;1;21
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;11;11;11;11;1;22
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;11;11;11;11;1;23
False;MoveSouth;MoveSouth;MoveSouth;MoveEast;12;12;12;12;1;24
False;MoveSouth;MoveSouth;MoveSouthEast;MoveEast;12;12;12;12;1;25
False;MoveSouth;MoveSouth;MoveSouthEast;MoveEast;13;13;13;13;1;26
False;MoveSouth;MoveSouth;MoveEast;MoveEast;13;13;13;13;1;27
False;MoveSouth;MoveSouth;MoveEast;MoveEast;14;14;14;14;1;28
False;MoveSouth;MoveSouth;MoveEast;MoveEast;14;14;14;14;1;29
False;MoveSouth;MoveSouth;MoveEast;MoveEast;15;15;15;15;1;30
False;MoveSouth;MoveSouth;MoveEast;MoveEast;15;15;15;15;1;31
False;MoveSouth;MoveSouth;MoveEast;MoveEast;16;16;16;16;1;32
False;MoveSouth;MoveSouth;MoveEast;MoveEast;16;16;16;16;1;33
False;MoveSouth;MoveSouth;MoveEast;MoveEast;17;17;17;17;1;34
False;MoveSouth;MoveSouth;MoveEast;MoveEast;17;17;17;17;1;35
False;MoveSouth;MoveSouth;MoveEast;MoveEast;18;18;18;18;1;36
False;MoveSouthEast;MoveSouthEast;MoveEast;MoveEast;18;18;18;18;1;37
False;MoveSouthEast;MoveSouthEast;MoveEast;MoveEast;19;19;19;19;1;38
False;MoveEast;MoveEast;MoveEast;MoveEast;19;19;19;19;1;39
False;MoveEast;MoveEast;MoveEast;MoveEast;20;20;20;20;1;40
False;MoveEast;MoveEast;MoveEast;MoveEast;20;20;20;20;1;41
False;MoveEast;MoveEast;MoveEast;MoveEast;21;21;21;21;1;42
False;MoveEast;MoveEast;MoveEast;MoveEast;21;21;21;21;1;43
False;MoveEast;MoveEast;MoveEast;MoveEast;22;22;22;22;1;44
False;MoveEast;MoveEast;MoveEast;OpenDoorAction;22;22;22;22;1;45
False;MoveEast;MoveEast;MoveEast;OpenDoorAction;23;23;23;23;1;46
False;MoveEast;MoveEast;MoveEast;MoveNorth;23;23;23;23;1;47
False;MoveEast;MoveEast;MoveEast;MoveNorth;24;24;24;24;1;48
False;MoveEast;MoveEast;MoveEast;MoveNorthWest;24;24;24;24;1;49
